,AAC_XGBoost,AAC_RF,AAC_ET,AAC_SVM,AAC_MLP,AAC_GBDT,AAC_AB,PAAC_XGBoost,PAAC_RF,PAAC_ET,PAAC_SVM,PAAC_MLP,PAAC_GBDT,PAAC_AB,CKSAAGP_XGBoost,CKSAAGP_RF,CKSAAGP_ET,CKSAAGP_SVM,CKSAAGP_MLP,CKSAAGP_GBDT,CKSAAGP_AB,PSAAC_XGBoost,PSAAC_RF,PSAAC_ET,PSAAC_SVM,PSAAC_MLP,PSAAC_GBDT,PSAAC_AB,DPC_XGBoost,DPC_RF,DPC_ET,DPC_SVM,DPC_MLP,DPC_GBDT,DPC_AB,GTPC_XGBoost,GTPC_RF,GTPC_ET,GTPC_SVM,GTPC_MLP,GTPC_GBDT,GTPC_AB,QSO_XGBoost,QSO_RF,QSO_ET,QSO_SVM,QSO_MLP,QSO_GBDT,QSO_AB,AAE_XGBoost,AAE_RF,AAE_ET,AAE_SVM,AAE_MLP,AAE_GBDT,AAE_AB,AAI_XGBoost,AAI_RF,AAI_ET,AAI_SVM,AAI_MLP,AAI_GBDT,AAI_AB,ASDC_XGBoost,ASDC_RF,ASDC_ET,ASDC_SVM,ASDC_MLP,ASDC_GBDT,ASDC_AB,CTD_XGBoost,CTD_RF,CTD_ET,CTD_SVM,CTD_MLP,CTD_GBDT,CTD_AB,All_data_XGBoost,All_data_RF,All_data_ET,All_data_SVM,All_data_MLP,All_data_GBDT,All_data_AB
ACC,0.9342391304347826,0.9375,0.9364130434782609,0.9326086956521739,0.9233695652173914,0.9282608695652174,0.9157608695652175,0.9288043478260869,0.9320652173913043,0.9331521739130435,0.9326086956521739,0.9320652173913043,0.929891304347826,0.9086956521739129,0.9190217391304347,0.9119565217391304,0.9103260869565218,0.9048913043478259,0.8923913043478262,0.9059782608695652,0.8929347826086957,0.9179347826086957,0.9125,0.9141304347826086,0.8652173913043478,0.8923913043478262,0.9065217391304348,0.9048913043478262,0.9228260869565217,0.9293478260869567,0.9298913043478262,0.9304347826086955,0.9048913043478259,0.917391304347826,0.9141304347826086,0.9054347826086957,0.9092391304347827,0.9038043478260869,0.9043478260869564,0.8804347826086957,0.8918478260869567,0.8907608695652174,0.9396739130434781,0.9413043478260871,0.9364130434782609,0.929891304347826,0.9277173913043478,0.9375,0.9146739130434783,0.9282608695652176,0.9271739130434783,0.9288043478260869,0.925,0.9217391304347826,0.9168478260869566,0.9032608695652173,0.9130434782608695,0.9070652173913043,0.9059782608695652,0.5967391304347827,0.7125,0.9195652173913043,0.895108695652174,0.9364130434782607,0.9347826086956523,0.9375,0.9396739130434784,0.9293478260869564,0.9407608695652174,0.9211956521739129,0.9288043478260869,0.9277173913043477,0.9266304347826086,0.9081521739130436,0.9152173913043479,0.9288043478260869,0.9173913043478261,0.9472826086956522,0.9440217391304347,0.9423913043478261,0.9320652173913043,0.9385869565217391,0.9413043478260871,0.9309782608695653
F1,0.9433854984831139,0.9461862485541215,0.9453615765638524,0.9425934031655829,0.9345231320735516,0.9383818596296056,0.9277479799145997,0.9383135909766122,0.9413867494396941,0.9422936377143387,0.9422664443853834,0.9414987879618515,0.9398681977793706,0.9214602137191324,0.9309376499861252,0.9251148844504193,0.9240162199505697,0.9196830569242316,0.9087955487896446,0.9198537677414602,0.9085064588041043,0.9289732554537912,0.923944587142282,0.9248217211452676,0.8798957868925983,0.9064358026878402,0.9187232894095126,0.9175603492142278,0.9335496906890128,0.9389921225911453,0.9397577752848563,0.9406008464010484,0.9188227263274695,0.928672231562184,0.9261708380637238,0.918634404302065,0.9221033781778921,0.9178374470370828,0.9187896847895616,0.8982760259493692,0.9081672937750153,0.9066298640502181,0.948194224340553,0.9493074847251574,0.945374534040251,0.9401628579497541,0.9383111039160725,0.9463789463802191,0.9272114565921827,0.9385703901069598,0.9375836918348712,0.9390028248723092,0.935290366014104,0.93253002095721,0.9284221682648702,0.9168531261071748,0.9250054740278661,0.9189786830526089,0.9172848415981824,0.7273882193780725,0.6981411037391835,0.9302191550291352,0.9095055627237377,0.945332273906255,0.9439861142042518,0.946396269363893,0.9479484751867518,0.9395608410215595,0.9488308187012076,0.9319554066931595,0.9387369624287573,0.9368935641838035,0.9358308277265414,0.9225282763573428,0.927707718412669,0.9391248137644723,0.929297205676727,0.9546746098063078,0.951404679776083,0.9498445878167241,0.9425553674690507,0.9470982786186036,0.9494136664197782,0.940810255219278
F2,0.9432362739752678,0.9459905498616065,0.9462312223457466,0.9473904879245026,0.9375342267664868,0.9405130771552341,0.9306208260817395,0.9339141449501938,0.9396059843342094,0.9405493562643248,0.9444611200731478,0.9402673178919304,0.9402956562309619,0.9211236740017121,0.9344328141019979,0.9309450035059055,0.9310947965801344,0.9292492621697066,0.9160341295925354,0.9243117172783288,0.9108997015013944,0.9256912944139014,0.9186013171026264,0.9165251128100692,0.8611824926361568,0.9008624145595693,0.9131869784339613,0.9138049634252889,0.9336019801856514,0.9374456168197524,0.942195068509481,0.9448415037916249,0.923299126576031,0.9271387647388709,0.9272717498039981,0.9181781296254758,0.9225588160868435,0.9212948108358573,0.9252709833615871,0.9034617893875595,0.9140005138474491,0.9082583256340955,0.950626579967221,0.9472822429967629,0.9467449651380446,0.9436899519791921,0.9418186811779231,0.9482663566838498,0.9317219507097573,0.9422761156365927,0.940278319415453,0.9409633455683293,0.933804965168035,0.932065254892817,0.9292143501620167,0.9174469964787463,0.924068051087772,0.9125184009928009,0.9051133498086912,0.8340411340944357,0.6674863472378524,0.9266531054513857,0.9086838090565734,0.9462113271932819,0.9461270999847351,0.9482943484048848,0.9461425481860687,0.9428216752155549,0.9480263963433581,0.9312438892869943,0.9374845965013737,0.9286367934563795,0.9270904715505732,0.9325728370817515,0.9313982097009363,0.9409207769636728,0.9329635811590389,0.956550204642371,0.9479614363698591,0.9445051406685879,0.9518377340149001,0.9468950725145124,0.9494676388780746,0.9427188619446694
GMean,0.9327934768303093,0.9359798015342118,0.9344859875924371,0.9289030934429856,0.9202332797393954,0.9255238236671863,0.9123500341659911,0.9286064904839891,0.9309442096966082,0.9319935906899609,0.9299722806586207,0.9306587298151593,0.9279838514718968,0.9065638598014232,0.9152865275525712,0.9073373152878542,0.9049103607617589,0.8981556443651224,0.8863464810008217,0.9015214949424442,0.8887526114797974,0.9173435122682154,0.9124606010777333,0.9147447466415493,0.8685759832308463,0.891451096101749,0.9062793630343947,0.9038915239962864,0.9207256184754099,0.9279942778410945,0.9273600980414061,0.9268570400284867,0.900848705441431,0.9157949238349052,0.9111887615161368,0.902932293320489,0.9068574780401816,0.8999064161081097,0.8993807703909591,0.8750307561932271,0.8862739297356388,0.8861346104855237,0.9372674204695916,0.9406629272740045,0.9341527681856159,0.9267087859165976,0.9244348291049626,0.9351199112627689,0.910733774815918,0.9250478678818395,0.924439483944053,0.9263333200409474,0.9236711600852949,0.9199452973505359,0.9143267361625622,0.900481164289109,0.911311745724926,0.9068927664992174,0.9076825787760837,0.3589629520422697,0.6402934153783679,0.9189569207381819,0.8922840640318757,0.9345826465864103,0.9322280969196399,0.9350501386532889,0.9387134434299982,0.9264876956900008,0.9393567962103863,0.9196256316885147,0.9272760122038111,0.9282174261774303,0.9274538148584828,0.9010601460997119,0.9112381480506129,0.9258107343215805,0.9135956548212931,0.9451371986370847,0.9437681153184216,0.9425655617720018,0.9266340002569908,0.9369803524933819,0.9397673438993834,0.9285021048459651
SEN,0.9431741350185561,0.9458730913134028,0.9468254722657837,0.9506286754926206,0.9395893416253015,0.9419539849931093,0.9325670773692863,0.931034598540872,0.9384486624749815,0.939453285531347,0.9459600200336512,0.9394809521031615,0.9406193865239251,0.9209653479619805,0.9368274795289402,0.9349528292598211,0.9359142988466257,0.9357565500850018,0.9209662235633249,0.9273198934967676,0.9125468686425933,0.923624148464531,0.9151617790816925,0.9111107538473926,0.8494182601894256,0.8972732460787689,0.9096021589302579,0.9113699334135253,0.9336910710326075,0.9364338802587774,0.943871473584753,0.9477000131323399,0.9264195227825937,0.9261588908069902,0.9281047454322107,0.9179062804239824,0.9229753548632917,0.9236710626401864,0.929786429664446,0.9070676782488887,0.9180253280430299,0.909376411664941,0.9522693677035928,0.9459668026117003,0.9476787526647202,0.9460797057876432,0.944197773812985,0.9495402997731031,0.9348548417741214,0.9448016627419742,0.9421346250116549,0.9423321508514716,0.9328379909679431,0.9317792890833964,0.9297719647123138,0.9178771057165018,0.9235083624240875,0.9083297054740083,0.8972446504196636,0.924656699753801,0.6599778579383696,0.9243458329373693,0.9082288351238075,0.9468302475806766,0.9475667250901217,0.9495907349482033,0.9449491912073629,0.9450926995458164,0.9475047562167696,0.9308439700918685,0.9367154519543417,0.923257833691706,0.9214284668089405,0.9394511634554265,0.9339640532212385,0.9422392560679498,0.9355297510787584,0.9578230217917539,0.9456913753592406,0.9410046039582423,0.9581493220199858,0.946804011463892,0.9495512195311007,0.9440237773650342
PREC,0.9437849352148598,0.9465651808404264,0.9439698493593782,0.9347541916627055,0.9296937398994904,0.9349091182905054,0.9230798851538584,0.9458671153165137,0.9444748947844186,0.945469113697694,0.9387481368228041,0.9436927631226976,0.9393133896503528,0.9222896116748952,0.9253651155098614,0.915860245369333,0.9126035289017669,0.9042372635505075,0.8971375910892039,0.9125653163706156,0.9047233195462425,0.9349420160985469,0.933362430094709,0.9391408749239002,0.9143211295556668,0.9162579460955147,0.928400586712066,0.9241044691561274,0.9336825332716998,0.9416476217846081,0.9358988174416198,0.9336561238323675,0.9118802288527059,0.9314020006733237,0.9247305453661596,0.919527207162794,0.9218048587991647,0.91235595203712,0.9087444573649475,0.8902038762495479,0.898967165013613,0.9040426719521489,0.9442240340742005,0.9528249791357396,0.9431703476937712,0.9344342508629859,0.9326235315245788,0.9432948817167324,0.9201811865124558,0.93260619033165,0.933327947775514,0.9359767581064979,0.9378610395728494,0.9334004886610187,0.9272177333987941,0.9159999432108133,0.9268363662804224,0.9302402994670181,0.9386276041390846,0.5998809460270211,0.8772759815905639,0.9364585654146553,0.9112381835582617,0.943996757334521,0.9404665299230446,0.9433536625123866,0.9510013864255209,0.9345053915519234,0.9502301537885653,0.933434016877918,0.9410951005176358,0.9511778559404863,0.9510988945449499,0.906472026116889,0.9219635243167256,0.9366065494406751,0.9236600697485375,0.9516370343100524,0.9572474381770384,0.958987382002543,0.9275573464868913,0.947611972651264,0.9495177223148072,0.9377570838110458
SPEC,0.9226424844716314,0.9262243369229048,0.9223411161780348,0.907704682715387,0.9013612409011031,0.9094310573072877,0.8926590639843666,0.9262903697007611,0.923583953139439,0.924781379395373,0.9143334021185741,0.922012293977091,0.9155974276626004,0.8925595846402532,0.894386377861732,0.8807618294289876,0.8750274051736776,0.8620823963403115,0.8530979698060023,0.8764479433880403,0.8657078911136995,0.9115221277011603,0.9100941278578489,0.9185137324551634,0.8891939490286962,0.8859995267529367,0.9031807662286416,0.8966297366503861,0.9081515708525549,0.9196899989859026,0.9113065117980035,0.9065084871900002,0.8763795312121087,0.90572267083787,0.894941339992435,0.888318920340296,0.8913845776974885,0.8769240826733385,0.8703201519032364,0.8444758753226449,0.8560538824963777,0.8637745296943871,0.9225573963015019,0.9354772516947902,0.9208701038065963,0.9077805752995349,0.9051488838755647,0.9209665551793791,0.8875964026391134,0.9058647290504712,0.9072748409483055,0.9107814017519906,0.914648497365844,0.9083498020367203,0.8992716238302136,0.8835177544038327,0.8995063928357176,0.9057384255929982,0.9185478720991587,0.14075558883333245,0.7716408046689087,0.9138041442911298,0.8770615055250783,0.9225976747027207,0.9171634512942113,0.9208172314721772,0.9325304650235499,0.9085592503252261,0.9313428985739076,0.908822039748314,0.9181861698421943,0.933412195095654,0.933826168750478,0.8644575925233466,0.8893977774335202,0.9102014416061392,0.8925724379915524,0.9327001381373228,0.941887957017477,0.9442195108783974,0.8961915752990371,0.9273975466248862,0.9302673709752562,0.913334333614307
MCC,0.865127973242157,0.8716118144603179,0.8692816369648437,0.8611059328983363,0.8423510421694983,0.8524952253211003,0.8267479670420135,0.8544176591595951,0.8606664370500834,0.8631525358674983,0.8614116149687232,0.8605857482629246,0.8559838745929799,0.8128054367980777,0.833325463714079,0.8189909825181271,0.8151335566136586,0.8037585320032317,0.7781080559662701,0.8061618635426233,0.7795775183667188,0.832632780527603,0.8217620276773449,0.825268259847902,0.7312215881334637,0.7803974094311673,0.8093973543202665,0.8055275470851759,0.8417223959952278,0.855024761396,0.8561651211190698,0.8566910933676268,0.8048686858453828,0.8306867637896908,0.824012629889151,0.8057684962134404,0.8141304698974196,0.8021847875617747,0.803751687880348,0.7541821171330553,0.7773863952261777,0.7746788226692614,0.8760040167877614,0.8797606848316526,0.869268908769324,0.8556423951626625,0.851165666332931,0.8714087264950269,0.8248799529151212,0.8525841639971168,0.8504803479202222,0.8538179010098744,0.8461418420215082,0.8393859325938552,0.8292313469845413,0.8012666228598079,0.8219163565638239,0.8106091279111561,0.8098776713728413,0.10515414880663174,0.47463195040280415,0.8356967905194688,0.7850460995817171,0.8694630007507858,0.8658572277997576,0.8714876055007889,0.8761502791258124,0.8551338118519707,0.8784143775006168,0.8387580969419242,0.8540759617494308,0.8528551989808598,0.851075454789952,0.8107261648721392,0.8257226376898075,0.8540228787295627,0.8305364965699509,0.891678232465031,0.8854343770843958,0.8824091098874135,0.8601393236661254,0.8740387740898381,0.8797340623373101,0.8581266706809363
AUC,0.9863019201328067,0.9868700837841221,0.9858516892225652,0.9827707320778231,0.9789993730059499,0.9844321728959095,0.9708757805605928,0.9858211274185553,0.9863942664595836,0.9844672728473434,0.9834370907708216,0.9836256659200119,0.9821101447856307,0.973248630580831,0.9783583075596785,0.9777660738361025,0.9756479028481266,0.9712367038963328,0.9670706335461736,0.9773706106722766,0.9644732121669399,0.9806631745933643,0.9795410243624774,0.9771595500099078,0.9576372134127495,0.9705372532646406,0.9776124067041758,0.9732550631760123,0.9818098720178716,0.9853772185311248,0.984792281052982,0.9839417531261596,0.9747038194869291,0.9767977358023007,0.9687136268837261,0.9754939933989565,0.9766688159509638,0.9724576047001803,0.9713941617463778,0.9558653617626064,0.9701827598742975,0.9627136771787717,0.9873018903434799,0.987178154417327,0.9856011929489176,0.9838271278254608,0.9829604164403596,0.9853518996449511,0.9709780444421044,0.9823763325830619,0.9843036014004992,0.9840325281496011,0.9822511519899354,0.9804424208965365,0.9809406621068268,0.964899604294774,0.9778475296395438,0.9761566876421028,0.9755514376218368,0.7869091695860364,0.8960577695745459,0.9771332263819442,0.967279623287728,0.9870884443519282,0.9861922661463783,0.9861055596176976,0.9865590194022248,0.983577917331182,0.9857323625017497,0.9770223512742907,0.9857317055525174,0.9839014728043519,0.9823435736101453,0.9671279291809098,0.9783629870003224,0.9850084817735032,0.9776177368553386,0.9899875460557361,0.9890599958774242,0.9877064325950574,0.9828301797883594,0.9872358546548015,0.9892395313781698,0.9831821149874301
AUPR,0.990413170495082,0.9908861699731777,0.9892577965509943,0.9857330002912142,0.9837092873479959,0.9891299992130259,0.97516750170942,0.9901526532452225,0.9904877054326342,0.9884531788063191,0.9841628605836348,0.9886867497001346,0.9865340600288155,0.9814303826526402,0.9852690684294096,0.9848141572180911,0.9812074236996853,0.9799845838750469,0.9762217203490818,0.9845434627525222,0.9754612897239712,0.9864928904788274,0.9859702685766617,0.9835677311598034,0.9666668340591631,0.980083098645306,0.9849497575956339,0.9819979053773226,0.9874761692278582,0.9898742453976048,0.9893380198140758,0.988589881347599,0.9817462184634526,0.9840568001708435,0.9754552218635567,0.9834442786356087,0.9840571893633928,0.9791284755777815,0.9803965711954905,0.9610560049863682,0.9797659945556418,0.9752904877542988,0.9913426767416962,0.9909569378660666,0.989235840202227,0.9872810033239594,0.9881621599389693,0.9898774297914091,0.9749938278256242,0.9878252493064726,0.9890763393233823,0.9887510013696433,0.9877962164461825,0.9866279377282311,0.9870383396452193,0.9643217436644328,0.9853144961361988,0.9840304145890532,0.9836330790524,0.8534770532493917,0.9159217135136253,0.9830909579142775,0.9731511557106595,0.9909887296774424,0.9903923290030413,0.9904181612551893,0.9895282677791876,0.9881561128693273,0.9899852463663628,0.9842956865676836,0.9902345791803828,0.9889492266431119,0.9880106339952288,0.9728240828491866,0.9855856528804854,0.9899688765551706,0.9794428762417805,0.9930255789706777,0.992320989224192,0.9915264883036128,0.9852004535657715,0.991222441117179,0.9925709255096955,0.9868551277021609
