,AAC_XGBoost,AAC_RF,AAC_ET,AAC_SVM,AAC_MLP,AAC_GBDT,AAC_AB,PAAC_XGBoost,PAAC_RF,PAAC_ET,PAAC_SVM,PAAC_MLP,PAAC_GBDT,PAAC_AB,CKSAAGP_XGBoost,CKSAAGP_RF,CKSAAGP_ET,CKSAAGP_SVM,CKSAAGP_MLP,CKSAAGP_GBDT,CKSAAGP_AB,PSAAC_XGBoost,PSAAC_RF,PSAAC_ET,PSAAC_SVM,PSAAC_MLP,PSAAC_GBDT,PSAAC_AB,DPC_XGBoost,DPC_RF,DPC_ET,DPC_SVM,DPC_MLP,DPC_GBDT,DPC_AB,GTPC_XGBoost,GTPC_RF,GTPC_ET,GTPC_SVM,GTPC_MLP,GTPC_GBDT,GTPC_AB,QSO_XGBoost,QSO_RF,QSO_ET,QSO_SVM,QSO_MLP,QSO_GBDT,QSO_AB,AAE_XGBoost,AAE_RF,AAE_ET,AAE_SVM,AAE_MLP,AAE_GBDT,AAE_AB,AAI_XGBoost,AAI_RF,AAI_ET,AAI_SVM,AAI_MLP,AAI_GBDT,AAI_AB,ASDC_XGBoost,ASDC_RF,ASDC_ET,ASDC_SVM,ASDC_MLP,ASDC_GBDT,ASDC_AB,CTD_XGBoost,CTD_RF,CTD_ET,CTD_SVM,CTD_MLP,CTD_GBDT,CTD_AB,All_data_XGBoost,All_data_RF,All_data_ET,All_data_SVM,All_data_MLP,All_data_GBDT,All_data_AB
ACC,0.9344086021505378,0.9333333333333333,0.9327956989247312,0.932258064516129,0.9220430107526882,0.924731182795699,0.9091397849462366,0.9354838709677418,0.9354838709677418,0.9451612903225808,0.9403225806451612,0.9365591397849462,0.9306451612903226,0.9155913978494624,0.8978494623655914,0.9080645161290322,0.9139784946236558,0.9053763440860214,0.8978494623655914,0.8978494623655914,0.8768817204301076,0.9026881720430108,0.9112903225806452,0.9166666666666666,0.8478494623655914,0.860752688172043,0.8935483870967742,0.8709677419354838,0.9102150537634408,0.9182795698924732,0.9317204301075268,0.9295698924731182,0.9182795698924731,0.8989247311827956,0.878494623655914,0.8962365591397848,0.8973118279569892,0.9086021505376344,0.903763440860215,0.8881720430107528,0.8903225806451612,0.8763440860215054,0.9387096774193548,0.9327956989247312,0.9435483870967742,0.9413978494623656,0.935483870967742,0.9306451612903226,0.9225806451612902,0.9236559139784946,0.9204301075268816,0.9263440860215054,0.9209677419354838,0.9193548387096774,0.910752688172043,0.9016129032258065,0.8935483870967742,0.8870967741935484,0.8935483870967742,0.6860215053763441,0.7661290322580644,0.882258064516129,0.8591397849462366,0.9344086021505376,0.935483870967742,0.9376344086021506,0.9274193548387096,0.9295698924731182,0.9306451612903226,0.9161290322580644,0.9365591397849462,0.920967741935484,0.9290322580645162,0.9177419354838708,0.9166666666666666,0.9231182795698925,0.9150537634408602,0.939247311827957,0.9327956989247312,0.9456989247311828,0.9327956989247312,0.9376344086021506,0.9365591397849462,0.9258064516129032
F1,0.9479170728694475,0.9466359543882732,0.9455909756743104,0.9456799670680527,0.9378613387221811,0.9400239522562736,0.9279717600665436,0.9483287350100941,0.9476284320614689,0.9555093398797364,0.9515762856912031,0.9491728604228117,0.9441383707569463,0.9331608640659212,0.9180203481997123,0.9256082634660995,0.9300715582564887,0.9238078403526939,0.91796389543263,0.9189456702065708,0.9026404563949161,0.9220249641415934,0.9280741556457481,0.9320303322323304,0.8731083041435964,0.8870963007022808,0.9140367761827083,0.8969712952207572,0.9283191670793283,0.9347889339693307,0.9444637745390443,0.9434632011088218,0.9345857631157157,0.9178989987417951,0.9035217053610612,0.916414879316829,0.9165939181313968,0.925262095695863,0.9222774102333083,0.9098086975536372,0.9128058075202781,0.9011435263769483,0.9509809468120526,0.9459179483131853,0.9543026174457576,0.9528853215054452,0.9481336634155924,0.9442917195474949,0.9385619354700822,0.9388882533749825,0.9354464751769992,0.940393561404175,0.9358442575006214,0.9353438947856254,0.928093156661108,0.9212809044706954,0.9145929899143092,0.908649330341933,0.9134832107637901,0.7908442170597848,0.8135935675578073,0.9061701380879199,0.8885716233820675,0.9474778084159924,0.948223931573293,0.9495838121831046,0.9418867945296835,0.9435771320948056,0.9446007752045885,0.9328790742597368,0.949281328851549,0.936086817586083,0.9423559802120355,0.934157964792129,0.9337413097840452,0.9385494568659908,0.9319223421030426,0.9514261351268358,0.945886358541209,0.9559773718209875,0.9459650333960106,0.949933946380862,0.9494343687548286,0.9407648719930007
F2,0.9492562485884954,0.9441705125633645,0.9384992808603838,0.9435665231535533,0.9357880019778854,0.939548090501176,0.9290672031991761,0.9454520846567245,0.9397997431602704,0.9446593205534446,0.9444614812794336,0.948169862950968,0.9399989322081252,0.9374840650278997,0.9158195018404107,0.9180837501079043,0.9209502861740402,0.9204228228235916,0.915601715003201,0.9212289396572363,0.9074805852747003,0.920764307827248,0.9191984102525668,0.920289010077164,0.849430471635183,0.8786369921952787,0.9079724549005087,0.8963239937403722,0.9286257539099785,0.9343079468841159,0.9331055694721172,0.9404085159396749,0.93374350984763,0.908636673977216,0.9071502277580663,0.9111349763273922,0.9069430931694556,0.913312748891393,0.9163232561251486,0.9074319047205955,0.9156994276178094,0.9001967362513827,0.9488957505990576,0.9402451742466618,0.9451735097382837,0.9492149545285878,0.9455902977018376,0.940897287717265,0.9426402120748254,0.9374474324693558,0.9268807835657494,0.9320270034228855,0.9282889847185241,0.9319938568260866,0.9257080390970897,0.9203806334908563,0.9128199152504086,0.9012086441381755,0.9032395250217242,0.8779406100649391,0.8163411076025389,0.9070445084586382,0.8935841394812349,0.9455338570416986,0.943858234160951,0.9414538378195936,0.9411641640017473,0.9408519449324142,0.9428912965278492,0.9303246595259381,0.9489050832714485,0.9296922542567174,0.9331524514784906,0.9330347117315082,0.9340794671862614,0.9388491389699205,0.9315099388793792,0.9501714642461134,0.9403752864532923,0.948855712078457,0.9441952947003118,0.946109504490409,0.9494590613058456,0.940173895685035
GMean,0.9276632689416683,0.9296684005813669,0.9319191707412543,0.9278156562402387,0.9174560067695763,0.9190237440303559,0.9001910960948247,0.9325561825711027,0.9355415300365453,0.9475845085647678,0.9404485024828096,0.9323147700215424,0.9279245399845222,0.904696911111247,0.89200274720185,0.9052893345081972,0.9132191194770565,0.9002069716671774,0.891446352153449,0.8876177195257562,0.862873057427732,0.8955341204314328,0.9101841913924433,0.9179476114887486,0.8527958234222248,0.8554704412951306,0.8896071589666688,0.8597762094366569,0.9031435215455901,0.9119900436291178,0.9339846750220377,0.9266410319895643,0.9129739676339439,0.8980860632315302,0.8652464142517978,0.8921453543896003,0.8958497705343598,0.9094172523372566,0.9002792181034277,0.8809784115871256,0.8798756059532911,0.8668146957716274,0.9347895859717503,0.930792246851022,0.9446822747160504,0.9392560696162955,0.9318512932173604,0.9264506588509418,0.9123787847845228,0.918857697103558,0.9203738767289625,0.926443013171187,0.9195392820599423,0.9152744510587386,0.9057017717263488,0.8932461351454812,0.8869027993847884,0.8833791700958189,0.8925002263746101,0.4788565776223742,0.72789134449364,0.8729913049454995,0.8432797725628323,0.9305104139677111,0.9332282012226619,0.9385872374538993,0.9223261859544432,0.9255255813472181,0.9261235711129222,0.9103846600694944,0.9321450291820707,0.9195247534968315,0.9295270207883115,0.9124061166959129,0.9100881294235992,0.9170623603530543,0.9086733234635165,0.9353447709741163,0.9312931438964697,0.946127636837887,0.9286253781320222,0.9356564078684185,0.9315588441555296,0.9197491837652624
SEN,0.9502296650981996,0.9425511347468717,0.9339171859369827,0.9422059232407858,0.934436628127753,0.9392803025403756,0.9298432799914302,0.9436496764161315,0.93468043122157,0.9375843423691912,0.9398214926376245,0.9475127460712336,0.9373025247625979,0.940498478394525,0.9144286033672471,0.9131814392340954,0.9149905439146536,0.9182291409959159,0.9140551831234184,0.9227727839100457,0.9107814392340956,0.9199721675186536,0.9134108673601682,0.9126549566606258,0.8344104729389757,0.8731131437177885,0.9040446316300313,0.8960238398091335,0.9288834456646488,0.9340586429060578,0.9257218353019935,0.9384253125429046,0.9332120568106086,0.9026396511185627,0.9096203655384028,0.9077112878255539,0.9006405843002521,0.9055538525121658,0.9124605716206549,0.9058958076625826,0.9176924121545748,0.8996381065241355,0.9475452086209664,0.9365405832534848,0.9392363169618767,0.9467904326066703,0.943941926344355,0.938731374850968,0.9454499088192845,0.9365254287444811,0.9213638807330448,0.9266140602709815,0.9233733215387145,0.929855030444695,0.9242186692269586,0.9198236287961391,0.9116720946494207,0.8963507776794719,0.8965715091107546,0.9478196916425151,0.821037176199791,0.9077019566822034,0.8970105591176021,0.9443350660750539,0.9410048863371377,0.9361779160066002,0.9407021945778464,0.9390625665332968,0.9417921049205853,0.9286743409840907,0.9486776970447715,0.9254894755125127,0.927124953467031,0.9323154743076716,0.934337341385907,0.9390694208622372,0.9313074389440906,0.9494226033253416,0.9367728576941149,0.9442048863371377,0.9430468934144992,0.9435960285478243,0.9495087974847591,0.9398201505084607
PREC,0.9459988099980011,0.9508437281538369,0.9580290943220646,0.9493955586278362,0.9414439197370553,0.9410106958845713,0.9263278764233063,0.9535892869686169,0.9610934400623607,0.9742591173439352,0.9638702951610194,0.9508906185377153,0.9512983406830241,0.9264727188799358,0.9219998373432123,0.9386226827766524,0.9457825430026295,0.9297030842388455,0.9220156232111478,0.915225317895958,0.8948550820062421,0.9243188166284364,0.9434095115233341,0.9524186840100695,0.9159948547719738,0.9016805492024211,0.9246255939496727,0.8985636856884277,0.9280282591248644,0.9358832886196178,0.9641920080548434,0.9487747195289137,0.936110967412542,0.9340942217673838,0.8976729598632675,0.9256154512952139,0.9332286700941885,0.9460582604145621,0.9326457403013197,0.9139632461699128,0.9082332760724043,0.9030269842573077,0.9546146596199898,0.9556917865783839,0.9701447106596403,0.9590940209338449,0.9525626403474657,0.9503414104221426,0.9321132304911846,0.9414455883423395,0.9505474563538547,0.9550418943330244,0.9489482610986425,0.9413118778369544,0.9324772403310015,0.9229523949806364,0.9176890308015178,0.9214815391001702,0.9312352025339642,0.6790952673045092,0.8196230886682248,0.9050030941616605,0.8805441459331099,0.9511144710759327,0.9557334422876635,0.9637506143602901,0.9431704199621238,0.9482311068794184,0.947617267141615,0.9373498123299815,0.9500037008903502,0.9469936793488329,0.95814530553114,0.936148629702777,0.9333065322468533,0.9381316005598828,0.9329064720702978,0.9538686659063143,0.9553701722907866,0.9682517706975684,0.9490407159011575,0.9564568482793702,0.9495263785447561,0.9419113142235007
SPEC,0.9061562614003902,0.9170956067176238,0.9303170927004653,0.9139972185507425,0.9009244012197669,0.8995097534893295,0.8719281237675697,0.9222067947675757,0.9365510096553628,0.9578015068727421,0.941315696895968,0.9174708200402291,0.9188611128320607,0.8711561628095721,0.8703851194028129,0.8978003581778683,0.9115627240196129,0.8829061193312377,0.8695543977400089,0.8540777450968097,0.8178627482947457,0.8720846674181505,0.907204014285225,0.9233710910911379,0.8717308563606151,0.8383698374075056,0.875740919041237,0.8259886057299983,0.8784026998269319,0.8908921584865656,0.9424607037179283,0.9152189064198708,0.8932701243281927,0.8937775455565946,0.8234134608980661,0.8770747235516108,0.8911620282777516,0.9134589092207255,0.8886694363591074,0.8570203140235171,0.8438946581233863,0.835776862670264,0.9224840297426491,0.9253130963208143,0.9504195946804714,0.931818023343429,0.9201910969061442,0.9148742037203986,0.8811057141838281,0.9017534344035697,0.9198672982982792,0.9266576738082641,0.9160097683368807,0.9013913953060833,0.8880455409148069,0.8679033580427081,0.8629221138935466,0.8708091056680416,0.8885339207181371,0.24371287681084747,0.6677097290915297,0.8398673718986458,0.7932662498220904,0.9174003804484734,0.925671918120179,0.9412471746659226,0.9044214209027995,0.912329390657898,0.9109561506861967,0.8928184800553517,0.9159384173513029,0.9136054459153021,0.931950619791815,0.8930576103406956,0.8866376662941959,0.8956366448317468,0.8868752869542401,0.9220311713042811,0.9259591600512564,0.9482143139157335,0.9146177870660479,0.9278887346600421,0.9141265977010067,0.9004026512025851
MCC,0.8590437491194539,0.8572421311310476,0.8580382348047362,0.8550612139532292,0.8327037557950112,0.8384692774346597,0.8037988613007101,0.8627448044518864,0.8636024648734131,0.8847392039114823,0.8740280907902737,0.8640355983057916,0.852308551452748,0.8181420513306911,0.7820478189475785,0.8047780634678927,0.8182195791948542,0.798165958489996,0.7813279558477113,0.7794270546465278,0.7338351482777825,0.7914617442219766,0.812304303469898,0.825000196900375,0.6886647752025928,0.7045028995024766,0.7740131710550137,0.7230469250047544,0.80742234170955,0.824721754144036,0.8568404813018298,0.8497999791355202,0.8249707373801753,0.7870512744533429,0.737738117913584,0.779247496698666,0.7828626431870038,0.8082035150552045,0.7955455555876668,0.7611859879233341,0.7639981368591799,0.7347727379577403,0.8686225041153959,0.856895024249687,0.8810847488190816,0.874803446897322,0.8622366625345169,0.8520163168749194,0.8331869072874584,0.8365631708776007,0.8326437390002244,0.8447601902522337,0.8327855494770977,0.8279771495800711,0.8100897887358677,0.7885671382504749,0.7722650708541943,0.7602181608179139,0.7753989064092993,0.2802481223255672,0.5063757271283917,0.7475001831105378,0.6954417523194131,0.8601443207810551,0.8623690646005239,0.8686026870534291,0.8444357212734189,0.8490883475513733,0.8512732043983349,0.820077988661248,0.8640108342613477,0.8323422144678402,0.8501491931258419,0.8238629331111147,0.8207885235560928,0.8350284221917473,0.8184119627662438,0.8703571114677182,0.8570904563697969,0.8853677204321346,0.856410853876929,0.8669297700779713,0.863828179958837,0.8405756327225988
AUC,0.9820240980085414,0.9839490293194684,0.9862309199226154,0.982892973162764,0.9740861825150592,0.9792917074872692,0.9631496522892741,0.9833426086418845,0.9847713858881212,0.9879000306011669,0.9827902214786356,0.9796811315125037,0.9818337937884241,0.9651640658036724,0.9677752269835993,0.9733884461019986,0.9760706637443191,0.9671754019453223,0.960196852933606,0.9648360897697869,0.9458484224335937,0.966595573378544,0.9674428594279372,0.971192054339717,0.9231639229314347,0.9338043758091574,0.9602038745826539,0.951035323415326,0.9700294322127261,0.9760239090794185,0.9815984279564723,0.981158284666367,0.9698589797723443,0.964758523761726,0.9437452322445619,0.9661408647370957,0.9694239939352617,0.9743033543734445,0.967828736061208,0.95342028660903,0.9592474597478768,0.9446952730327494,0.9838892567950671,0.9847768661694027,0.9868021746172465,0.9833908167465786,0.9819305625657032,0.9802543415940288,0.9732025845666848,0.9741900651780047,0.9757754374429904,0.9757339259142027,0.9729940896969426,0.9683714687690564,0.9745347041570565,0.960262303709151,0.9616546266471616,0.953615904451323,0.9566710175872244,0.6781373008995484,0.8336538583634253,0.9548204488644583,0.9322779843752667,0.9832453456245412,0.9830677003471401,0.9842685282377565,0.9851828588401471,0.9784530207821506,0.9788019837280373,0.9665733385908026,0.981677122061033,0.9789502783001349,0.9809840400338043,0.9683460798473739,0.9685211634846423,0.9775254896554066,0.9652033366876877,0.9856293076016346,0.9853945435410794,0.9871458500787409,0.9806387365902373,0.9792578119526512,0.9838885774074715,0.9738295040573919
AUPR,0.9902470032473335,0.9911993547669817,0.9924634027306111,0.9907922200028612,0.9843131815713958,0.9890216694987364,0.9739067244537003,0.9910032668536332,0.9913855268723151,0.9932553939161037,0.9911126356300451,0.983125298941063,0.9902123782798947,0.9703438010564845,0.9822596378349285,0.9851514383013166,0.9867312680285117,0.9795520280949905,0.9777029291218933,0.9808043512606417,0.9655954007037744,0.9825560169847087,0.9831321044900772,0.9849630999055599,0.9556615997354221,0.9637168661277966,0.9787134666751907,0.973762231116727,0.983841115034313,0.987149263269419,0.9901075250125275,0.9902166933397135,0.9838487712693432,0.981114624788743,0.9611339042700499,0.9816178316775044,0.9830468579725979,0.9858185485391747,0.9817541817339948,0.9733811549660597,0.9777491940083876,0.9636968271019791,0.9909839199462626,0.9916032630484825,0.9928645120323207,0.9912450123192904,0.9868755052604266,0.9893285608082382,0.9842755462438635,0.9835671199163393,0.9871766902860528,0.9865965249386713,0.9850967622103,0.980704971922075,0.985623987599719,0.9756942405422213,0.9797638786372733,0.975596811296322,0.9770303175817393,0.6973140540420915,0.8805470443472478,0.9754070090140766,0.9621747178777793,0.9909408118914304,0.9907548085432255,0.9914491505751852,0.9921204592702502,0.9884421110735653,0.9883780512606075,0.9717132104662148,0.9899722288810071,0.9881780962083836,0.9895992567211627,0.9816470455034583,0.9828438170953049,0.987635857128072,0.9807907218304319,0.9919639197723248,0.9919040134038106,0.9930075211494052,0.9893695948418859,0.9880831155586135,0.9910958620866586,0.9837320211947398
