LGBM,GBDT,ET,RF,XGBoost,voting_clf,stacking
0.9991521229004342,0.9722213510750399,0.9,0.91,0.99990845,0.9663535233886864,0.9959224578551054
0.9971866792431631,0.9637857833169048,0.84,0.82,0.9957379,0.944308196504618,0.9959224578551054
0.9983432578942844,0.9622157367778712,0.75,0.86,0.9965699,0.9149710432655834,0.9959224578551054
0.9999125090685235,0.9883464318655216,0.89,0.96,0.9999118,0.9632747647314187,0.9959224578551054
0.9997495318963491,0.9815434470726381,0.83,0.93,0.999866,0.943205180218298,0.9959224578551054
0.9998917681675579,0.9896725156647066,0.84,0.94,0.9999151,0.9466022970511325,0.9959224578551054
0.9911755737642762,0.7879806412429445,0.79,0.71,0.9863218,0.9224991268906434,0.9959224578551054
0.9998917681675579,0.9896725156647066,0.84,0.94,0.9999151,0.9466022970511325,0.9959224578551054
0.9993741023913573,0.9843416184139716,0.83,0.91,0.9990428,0.9428056371336364,0.9959224578551054
0.99964316360224,0.9561679754337223,0.77,0.83,0.9998287,0.9231572866177186,0.9959224578551054
0.9989781709496133,0.9440622205588594,0.84,0.8,0.99719954,0.945392568773162,0.9959224578551054
0.9988140428267086,0.9671783805371301,0.73,0.76,0.9988889,0.9092343175478169,0.9959224578551054
0.9893397222316216,0.9825160777060656,0.63,0.69,0.99806577,0.8724684973013384,0.9959224578551054
0.9846385088261408,0.9128174511800482,0.77,0.72,0.99872017,0.9177862259645079,0.9959224578551054
0.9995579816129992,0.9777911928074031,0.91,0.88,0.99969053,0.9697495047657751,0.9959224578551054
0.9931504806998189,0.8275328603713105,0.81,0.87,0.98245215,0.9285342116197883,0.9959224578551054
0.9990074653139084,0.9698717831680559,0.83,0.89,0.99972993,0.9429124655561437,0.9959224578551054
0.9991740184659061,0.9741172626313419,0.82,0.8,0.99762243,0.9389321495968201,0.9959224578551054
0.9997111705042003,0.9836177740178832,0.85,0.94,0.999783,0.9498313833308577,0.9959224578551054
0.9725748508959199,0.8450330375213976,0.75,0.68,0.8603858,0.8609868754873403,0.9959224578551054
0.9708239042602814,0.8853534075649659,0.83,0.86,0.99450976,0.9317778869417919,0.9959224578551054
0.9994428117323504,0.9845691623598606,0.91,0.91,0.999321,0.9695879318730231,0.9959224578551054
0.9997414583992003,0.9850254426507337,0.88,0.92,0.9994184,0.9597199454251606,0.9959224578551054
0.9995145975092303,0.9558995035271097,0.8,0.92,0.99738556,0.9323000529918158,0.9959224578551054
0.9701937536487648,0.7902122836065413,0.83,0.65,0.98503035,0.9284080355726901,0.9959224578551054
0.9993548430940433,0.9746145268737085,0.81,0.86,0.9972517,0.9355355108426983,0.9959224578551054
0.9996241326490629,0.9782555626707315,0.64,0.79,0.9996755,0.8797665483209686,0.9959224578551054
0.9985190716041434,0.9462825376494667,0.82,0.81,0.9997693,0.9394294473414059,0.9959224578551054
0.14450195005423555,0.5683917401925256,0.74,0.71,0.70371187,0.5294046057955647,0.8659073658210803
0.9995890550009486,0.9775127453030154,0.84,0.88,0.99970055,0.9464298670885323,0.9959224578551054
0.9902226871895063,0.9176972809869405,0.7,0.77,0.97879213,0.8896716060455399,0.9959224578551054
0.9958333548673364,0.94617665173981,0.75,0.85,0.9927555,0.9128629425091338,0.9959224578551054
0.9936504149399003,0.9558425610841287,0.73,0.73,0.9988778,0.907509412764238,0.9959224578551054
0.9988846079530115,0.9199427936147484,0.89,0.95,0.9929709,0.9606184972664314,0.9959224578551054
0.9985634858132778,0.9385415671166205,0.88,0.91,0.99889815,0.9591538781166533,0.9959224578551054
0.9989933752667658,0.9769016629882531,0.83,0.93,0.99886787,0.9426204148813007,0.9959224578551054
0.9977462270237365,0.9307095417865308,0.78,0.88,0.99622667,0.9246576317938618,0.9959224578551054
0.9998538929273997,0.9679758047315683,0.78,0.82,0.9979328,0.9259288948790999,0.9959224578551054
0.9955884958649466,0.9656017621770842,0.7,0.78,0.9964443,0.8973442602602901,0.9959224578551054
