,AAC_XGBoost,AAC_RF,AAC_ET,AAC_SVM,AAC_MLP,AAC_GBDT,AAC_AB,PAAC_XGBoost,PAAC_RF,PAAC_ET,PAAC_SVM,PAAC_MLP,PAAC_GBDT,PAAC_AB,CKSAAGP_XGBoost,CKSAAGP_RF,CKSAAGP_ET,CKSAAGP_SVM,CKSAAGP_MLP,CKSAAGP_GBDT,CKSAAGP_AB,PSAAC_XGBoost,PSAAC_RF,PSAAC_ET,PSAAC_SVM,PSAAC_MLP,PSAAC_GBDT,PSAAC_AB,DPC_XGBoost,DPC_RF,DPC_ET,DPC_SVM,DPC_MLP,DPC_GBDT,DPC_AB,GTPC_XGBoost,GTPC_RF,GTPC_ET,GTPC_SVM,GTPC_MLP,GTPC_GBDT,GTPC_AB,QSO_XGBoost,QSO_RF,QSO_ET,QSO_SVM,QSO_MLP,QSO_GBDT,QSO_AB,AAE_XGBoost,AAE_RF,AAE_ET,AAE_SVM,AAE_MLP,AAE_GBDT,AAE_AB,AAI_XGBoost,AAI_RF,AAI_ET,AAI_SVM,AAI_MLP,AAI_GBDT,AAI_AB,ASDC_XGBoost,ASDC_RF,ASDC_ET,ASDC_SVM,ASDC_MLP,ASDC_GBDT,ASDC_AB,CTD_XGBoost,CTD_RF,CTD_ET,CTD_SVM,CTD_MLP,CTD_GBDT,CTD_AB,All_data_XGBoost,All_data_RF,All_data_ET,All_data_SVM,All_data_MLP,All_data_GBDT,All_data_AB
ACC,0.9111842105263157,0.9032894736842106,0.906578947368421,0.9105263157894736,0.9019736842105264,0.8888157894736842,0.8671052631578947,0.9085526315789473,0.9065789473684209,0.9177631578947368,0.9118421052631579,0.9085526315789474,0.8960526315789472,0.8848684210526315,0.8598684210526315,0.8690789473684211,0.8677631578947368,0.8605263157894736,0.8368421052631578,0.8526315789473685,0.8230263157894736,0.8638157894736842,0.8730263157894737,0.875657894736842,0.8276315789473685,0.8065789473684211,0.8467105263157896,0.8217105263157893,0.876315789473684,0.8828947368421053,0.9092105263157896,0.8993421052631578,0.8907894736842106,0.8651315789473684,0.8526315789473685,0.8401315789473683,0.8493421052631579,0.8671052631578947,0.842763157894737,0.825,0.8342105263157894,0.7960526315789475,0.9046052631578947,0.9105263157894739,0.9190789473684211,0.9131578947368422,0.9190789473684209,0.9085526315789474,0.8776315789473685,0.8986842105263158,0.9013157894736843,0.9006578947368421,0.8940789473684211,0.8881578947368421,0.9006578947368421,0.875,0.8611842105263158,0.8348684210526315,0.8447368421052632,0.6394736842105263,0.6934210526315789,0.8328947368421054,0.8092105263157896,0.9026315789473683,0.9072368421052632,0.9138157894736842,0.9085526315789474,0.9111842105263157,0.8967105263157894,0.8796052631578947,0.8960526315789472,0.8894736842105262,0.8914473684210525,0.8657894736842107,0.8769736842105263,0.8973684210526315,0.8690789473684211,0.9230263157894736,0.9144736842105263,0.925,0.9052631578947368,0.925,0.9164473684210526,0.9019736842105264
F1,0.9100553517961506,0.9010495705333288,0.9032814843619477,0.9088923471326552,0.9012749207052281,0.8875579737982356,0.8683432102069265,0.9074933684206761,0.9044634896554662,0.9152166822190081,0.9097469060337373,0.9076673177533783,0.8953797239167341,0.8853858223208764,0.8605067584177902,0.8656218999087617,0.8622652313730702,0.860276507223005,0.8381383349022851,0.8519964069856188,0.824736504493772,0.86251057789536,0.8683154000169034,0.871091360403922,0.8169154132340932,0.8043762893305406,0.8438841971231259,0.8232587326166438,0.875776116996118,0.8829637933367375,0.9070661760817064,0.8967248910488527,0.8905759691248261,0.8613283663453644,0.8520002825464335,0.83869334102544,0.8452136836650365,0.8606045365120961,0.8412645161271859,0.8255909619395586,0.8335644611981033,0.7982782495892661,0.9035293048078525,0.9076696147749039,0.9157509232736765,0.9110877887097321,0.9184117927202695,0.9077693576331184,0.8771395656755564,0.8975408113866952,0.8990875447421258,0.8981843232868518,0.8917196455948495,0.8877912486064659,0.8993406943718147,0.8747167962804946,0.8610665879761241,0.8315722085748947,0.8394091717893513,0.6779926960612523,0.638477760128014,0.8327856583827359,0.8107580977387702,0.9020068597846338,0.9052386858932117,0.9111353911681164,0.9059356797726883,0.908828882127145,0.8955371250977956,0.8775059286188028,0.895204544742661,0.8861690808307987,0.8872116038772099,0.8652993660961501,0.8753026223088289,0.896798294762128,0.8692160602672938,0.9224433839348976,0.9124242070430952,0.9225028641252404,0.9030995565462957,0.9247735170545652,0.9150355528507141,0.9034019425471879
F2,0.9054170601315221,0.8893343235438682,0.8832351049233452,0.9024457797539764,0.8987824095340045,0.8810145073855186,0.8719602640070425,0.9009067654942434,0.8917141075119306,0.8980899936540456,0.897453937980276,0.9038040681310437,0.8906036647226507,0.8881077320469952,0.8614748420032537,0.851652627541605,0.8419753166733273,0.8588999024639747,0.8395246223345717,0.8493191003601878,0.827063304394539,0.8554653105364224,0.8485706905196588,0.8515253709123567,0.7856490511642502,0.7967667971875982,0.8337136677869024,0.8255595799698792,0.873336947582629,0.8824423418206905,0.8943261653760546,0.8837244159946236,0.8884958276209195,0.8439974128049252,0.8487775774799011,0.8336944224422785,0.8314512207680849,0.8365279300139449,0.8357623270314825,0.8249062656681978,0.8309970961593557,0.8022629256158227,0.8977128456412593,0.8905186084989417,0.8972055619310051,0.9002899952127128,0.9130988383978658,0.9018075515261236,0.8751550061065615,0.8922145747963383,0.8863208684973477,0.8842836208244057,0.8798996084274752,0.8869243914645196,0.891841709656549,0.8737340278256832,0.8586687211579378,0.8220797141344789,0.8214033326482137,0.7235211257654156,0.6061344664304393,0.8313722425797268,0.8145511817982805,0.8985317995130636,0.8935187790493806,0.896338982891798,0.8948577303021269,0.8978479083729282,0.8891006937725431,0.867546264439415,0.8918319003994302,0.8694142531705544,0.8663938380136729,0.8626834541592381,0.8667348137874082,0.8941117608385021,0.8695519776683975,0.9192817539277811,0.8995543030879176,0.9042237678522869,0.8924163662911386,0.9248231688917168,0.9062135588950829,0.9117908950274991
GMean,0.9109472951313663,0.9031670991617246,0.906113452647489,0.9102095023614055,0.9018490438983626,0.888709783372779,0.8673783693236479,0.9085853259771252,0.9065088242750617,0.9173499861510024,0.9114559545319517,0.9085606361240682,0.8962446004486775,0.8849850872818102,0.8597455688032687,0.8689507865256452,0.8669662868730548,0.8605953213568338,0.8370100085239175,0.852660716360471,0.8229188529126101,0.8636569758220928,0.8720831427639206,0.8750972730443995,0.8257340783120213,0.8060989376609957,0.8465678041204985,0.821284412918755,0.8765153871686742,0.8831386472718684,0.9091344813576562,0.8991653569710817,0.8905807254965019,0.8646877370557146,0.8530796477495862,0.8398361772459442,0.849141730289707,0.8659847589186492,0.8430410890338914,0.825012189432518,0.8341391987636937,0.7963085738842008,0.9048796498463556,0.910355888018524,0.9186394938784354,0.9130235784038158,0.9192916966107927,0.9085582505447419,0.8777157656913616,0.8988337171890233,0.9009598999983727,0.9001635323724735,0.8933458242145825,0.8875293819547757,0.900293990065952,0.8740892847839741,0.860890378888777,0.834742907560341,0.844058373615977,0.6274691804770997,0.6602563064567566,0.8324189277704116,0.8089747413803092,0.9026023023468621,0.9072218820883687,0.9135026311202707,0.9081463110706475,0.9109400657985667,0.8970076107183076,0.8795814232106285,0.8963516336536557,0.8890744696807588,0.8907805435297383,0.8661225510751713,0.8770205670239598,0.8974191746888307,0.8687857061748682,0.923161708187443,0.9143642819173078,0.9246070282341045,0.9050575526477791,0.9248748476278893,0.9167330480749853,0.9019546196197028
SEN,0.9024633140739479,0.8817482950330084,0.8704294411292333,0.8983220232606124,0.8972727965224223,0.8768830731170301,0.8745449321489671,0.8967966686890655,0.8834591000080323,0.8870715716956216,0.889581849891956,0.9013514761381736,0.8876714902627343,0.8900992293596112,0.8623463187243183,0.8427163553607979,0.8290754312422506,0.8581141122551609,0.840790541443894,0.8476290505469709,0.8287843282116455,0.8508805876507441,0.8360475555518361,0.8391749831145752,0.7662706384628215,0.7920630958265953,0.8272161314651031,0.8272446592981776,0.8718502830194133,0.8821459455883648,0.8861746285673231,0.8753358984245334,0.8871240420601602,0.8328800030169237,0.8468589637011416,0.8304241291777448,0.8226021256643069,0.8212632334996032,0.8322671038898746,0.8248568876924667,0.8293604926651919,0.805190243314344,0.8939981729826059,0.8795073696602062,0.8852711498898216,0.8932799050787684,0.9096295034001252,0.8979553471744491,0.8738680300138316,0.8888889512870239,0.878064723904053,0.8753118442056508,0.8722669557423697,0.8865011324894463,0.886926105038287,0.8732450087556993,0.8572198041808792,0.8159601081137005,0.8099227061192351,0.7575779530462737,0.592811077128073,0.830587666474816,0.8171278145779957,0.896303343440293,0.885999335251868,0.8867694220976972,0.8876972550993975,0.8907750210875983,0.8849760012927357,0.861160653307705,0.8896814771663971,0.8587425586553481,0.8530861308339907,0.8611661901371781,0.8612444912322091,0.8924071278567709,0.8697839065540631,0.9172234081713144,0.8912297273091034,0.8924472070353552,0.885523302850953,0.9249114963729277,0.9005456720405338,0.9175936870943339
PREC,0.9183424912426039,0.9215352307296596,0.9391525773096265,0.9203549037147873,0.9060333190619847,0.8994125766248529,0.8629872204774165,0.919642235034009,0.9267567191720214,0.9454861165931895,0.9316108917509383,0.9146128621975997,0.9044029303832002,0.8815389914960878,0.8597662817246483,0.8905654637772414,0.8988899718763836,0.8631063677690483,0.8371592949405695,0.8568445704320291,0.8215088604022945,0.8747221006113202,0.9041058988427408,0.9068633668251487,0.8759844019044317,0.8186537705911057,0.8620728050348007,0.8200056008681346,0.8804227167606328,0.8840352189949721,0.9298172314267106,0.9195922731725868,0.8941040819080897,0.892117305896606,0.8583452667769389,0.847282897857782,0.8695653923541247,0.9042427678141964,0.8511625846931132,0.8283574163291746,0.8381583547092257,0.7926830373838728,0.9139107641537507,0.9381001110615715,0.9485100120551719,0.9298817926990026,0.9275721709659586,0.91821762783114,0.8805974924905315,0.907380010400398,0.9214640169673727,0.9226205474917567,0.9124837387995284,0.8898565276079596,0.9121865378774796,0.8770318120069776,0.8656692587163161,0.8482940982797098,0.8717366939456962,0.6139595136139779,0.7612547695907371,0.8357703764737859,0.8046220567054801,0.9081565046360586,0.9260521058084444,0.937058405046727,0.9253594486485264,0.9281946545828147,0.9069700796912779,0.8951916203932411,0.9012338688406375,0.9163402553677467,0.9244080489728719,0.8706109860472917,0.8905297162726675,0.9016331944688606,0.8686881345474564,0.927918075682354,0.934970179491456,0.9547281524171829,0.9218767353637309,0.9249062422105199,0.9306515939709217,0.8902156204315215
SPEC,0.9198629270166784,0.9252661584488708,0.9434613675624874,0.9226518909921495,0.9068946180514835,0.9012223491342436,0.860618134636927,0.9211710487375496,0.9302767054196825,0.948804745915648,0.9343055727529224,0.916104911998271,0.9055229348023127,0.8803257341881652,0.8578595038467253,0.8963481037956088,0.9069209469624722,0.8634072860106649,0.8341530215940139,0.8579465972517305,0.8175940693539652,0.876770429911139,0.9101764398923393,0.9132186934134662,0.8903805846668338,0.8214317873643022,0.8668095191167747,0.8158964726397622,0.8815206926293268,0.8841846334754762,0.9330806036187866,0.9238486453535686,0.8941047009024876,0.8978548157990799,0.8598332437858109,0.8494951242813545,0.8767159701687657,0.913303177182455,0.8542252335038766,0.8263658802060823,0.8391231903597289,0.788089869711537,0.9161802617381649,0.9424554139704681,0.9533033988239363,0.9333322134286858,0.9291347987489893,0.9194981539270695,0.8816360720208145,0.9094098877071041,0.9246396404062421,0.9259291721827031,0.9152322357867778,0.8891189903233524,0.9139485308721371,0.8756106753737768,0.865051371792282,0.8542129089162603,0.8799641966278131,0.5201286799410338,0.7913374032454932,0.8348575573169296,0.8009734814482685,0.9091521736956472,0.929292416146094,0.9411337526642283,0.9293323296131868,0.9318713635145149,0.9094649677668315,0.8987532133317744,0.9032203892708068,0.9209142196556176,0.9302400541491291,0.871646687417449,0.8934238393019862,0.9026657264025308,0.8678559225519086,0.9292222407074975,0.9382360498748487,0.9579549728996772,0.925292183777092,0.9250021078668544,0.93348582655151,0.8868644195359904
MCC,0.8227405256422496,0.8073971603194554,0.8156199822428679,0.8215411851229801,0.8043733315896784,0.7784870970776835,0.7348518133571966,0.8183135260506991,0.8141505262403402,0.8371974333394514,0.8249210123655668,0.8174651271325548,0.7932446001995241,0.7703937830578133,0.7204603633768164,0.7397198882420475,0.7379608489085202,0.7213746565536179,0.6750223649546165,0.7053818532869304,0.6464312257862987,0.7277938811025031,0.7485099998010213,0.7543707938875663,0.6614814132310709,0.6143929302987268,0.6944494544599531,0.6435083219356315,0.7531142221196068,0.7658051223419322,0.8198837200316781,0.7997512086946967,0.7812493351244667,0.7320181226590012,0.7063125152583917,0.6800315117751669,0.6998705976715021,0.7372696781264961,0.6861743032522588,0.6516297474136659,0.66835100494331,0.5931546644514675,0.809888771278682,0.8229300505609464,0.8399136360131587,0.8269586097363281,0.838387844173802,0.8174818268347035,0.755148293436587,0.7982917379908723,0.8035486938161842,0.8023600029674398,0.7887736510102045,0.7765072019981064,0.8013274429546092,0.750040992078182,0.7226840206009604,0.670332628051721,0.6914312251896713,0.2860800549924697,0.41139874440099805,0.6659417825734831,0.6180564022033287,0.8054256515908959,0.8157276765349222,0.8287588708408636,0.8177621555654351,0.8232427934341722,0.7941272775867754,0.7602053140394748,0.7924070920032048,0.7810410590005132,0.7852187389109162,0.7325492387064563,0.7547912559983225,0.7949128945330082,0.7377111705135816,0.8461141884588734,0.8299600917872002,0.8517436597265293,0.8113314339227911,0.8500329783363286,0.833850039313854,0.8047194368202517
AUC,0.9662653957763216,0.9692373910601916,0.9724393225562311,0.9669187538028258,0.9494145344191708,0.9536708492723894,0.9332708779711002,0.9673496619769277,0.9664898868373747,0.9742492509246123,0.9658614087655429,0.9684144765885385,0.961070216186779,0.943437990810976,0.9357494158282931,0.9456055370787713,0.9483767008442149,0.9320980525603504,0.9151491757679933,0.9283625985611682,0.897888235474866,0.9352805961661046,0.9377614553965014,0.9406313837678539,0.9124998670124818,0.8945371081368432,0.922745975970426,0.9023003259247637,0.9466610792249479,0.9533195718821341,0.962572651579331,0.9627487111270442,0.9459180625578805,0.9395923492529847,0.9196869247637703,0.9217036282301903,0.9374311762583613,0.9428862628145586,0.9300171238844946,0.9053501907850748,0.9198199609266713,0.8912350467217938,0.9646895834917968,0.9697297757734489,0.9727909183380051,0.9679055998752611,0.9638153978318991,0.9607708663635455,0.9423470040288582,0.9567694899020784,0.9581471377716525,0.9574647732478117,0.9536809726495937,0.9550914382279387,0.9556007948052573,0.9357560489704054,0.9350506993631722,0.9188422583128786,0.9219526839629483,0.6934371054939817,0.7927633721650962,0.9183682929635955,0.8867035971826741,0.965602072325672,0.9704001964427789,0.9725793643779765,0.9713741732464942,0.9618935312020345,0.9623859548250197,0.9431920509099616,0.9631701871120949,0.9574023809671676,0.9616505178955883,0.9376859322633134,0.9441839106238679,0.9607348973192137,0.9319476386458355,0.9755032466395581,0.9743855660520924,0.9775149412809003,0.9629049874221595,0.9730828391239074,0.9711781976333314,0.9603124185161089
AUPR,0.9712435167196217,0.972764043856381,0.9756149297002372,0.9701669730423961,0.9519795073477237,0.9603390981120228,0.9359338802568029,0.9719961033562141,0.970225418709975,0.977534498844355,0.9727773524355581,0.9737400171881507,0.9666623200459407,0.9323806469227429,0.941679172940967,0.9490267592933257,0.952275387760821,0.9370257438779845,0.9240124771459348,0.935553628906771,0.8920543204885639,0.9481286699134934,0.9502665586901827,0.9529649700236783,0.9288350187816965,0.9092542887934218,0.9360504604016471,0.9166520736735624,0.9558443819927349,0.9623593604325379,0.969115830019429,0.9707067938921975,0.9534544038470388,0.9490323382153513,0.9198462250977247,0.9311935293369288,0.9420778192496948,0.947626270683747,0.93767702820114,0.9104244657568012,0.9285942907418759,0.899406967694318,0.9707470209547475,0.9740604037106285,0.9770303035322865,0.9730338813711606,0.9697915961666977,0.9679197031710505,0.9483373108820974,0.9597445552413039,0.9653545539460469,0.9647506520097601,0.958176345210609,0.9587783066555611,0.9569438691105869,0.9363833101370027,0.9432154044013125,0.9311193703670112,0.9353702588567842,0.6589579498251993,0.751433100258807,0.9256943423968463,0.8923630013377004,0.9718933603652342,0.9739929847574063,0.9760057851607629,0.9762124251535316,0.9668981142308075,0.9676396590208338,0.9444989735541892,0.9678110297687977,0.9624561069869358,0.9669862751676813,0.9476820838551809,0.9499151881074605,0.9659278051186245,0.9374112315730374,0.9793062285696154,0.9776818414125967,0.9805904173498508,0.9667223403569117,0.9778583864777701,0.9758919671868563,0.9608825758910925
