model,ratio,Accuracy,Precision,Recall,Specificity,MCC,AUCROC,AUPR,Gmean,ratio_str
DT,"(0.5, 0.5)",0.8170731707317073,0.8382352941176471,0.8321167883211679,0.7981651376146789,0.6297128986183913,0.8151409629679234,0.7910055957579756,0.8149641776555885,50:50
DT,"(0.7, 0.3)",0.8125,0.9181286549707602,0.8219895287958116,0.7846153846153846,0.5606241056932867,0.803302456705598,0.8875046404733474,0.8030850703916395,70:30
DT,"(0.3, 0.7)",0.7829787234042553,0.6476190476190476,0.8292682926829268,0.7581699346405228,0.5631816820415001,0.7937191136617248,0.5966244100130971,0.7929226237552266,30:70
DT,"(0.1, 0.9)",0.7678571428571429,0.31343283582089554,0.7777777777777778,0.766497461928934,0.3870315287108645,0.7721376198533558,0.2705668088130775,0.7721170200244216,10:90
DT,"(0.9, 0.1)",0.8052434456928839,0.9575471698113207,0.8252032520325203,0.5714285714285714,0.2640070244192207,0.6983159117305457,0.9512197276414145,0.6866911354074366,90:10
LGBM,"(0.5, 0.5)",0.8211382113821138,0.8604651162790697,0.8102189781021898,0.8348623853211009,0.641653018611631,0.9334360141967456,0.9515022461375687,0.8224483866424804,50:50
LGBM,"(0.7, 0.3)",0.8203125,0.9289940828402367,0.8219895287958116,0.8153846153846154,0.5856859760122572,0.9390253725332259,0.9788169731999657,0.8186804112639767,70:30
LGBM,"(0.3, 0.7)",0.8212765957446808,0.7083333333333334,0.8292682926829268,0.8169934640522876,0.626639954172212,0.9308146022636696,0.9136332005509769,0.8231079972079913,30:70
LGBM,"(0.1, 0.9)",0.8125,0.3684210526315789,0.7777777777777778,0.817258883248731,0.4447982355384914,0.9059973679263019,0.7910307914330796,0.7972739793084598,10:90
LGBM,"(0.9, 0.1)",0.8089887640449438,0.9710144927536232,0.8170731707317073,0.7142857142857143,0.34269230286403607,0.9171506000774293,0.9923925541859535,0.7639526774478842,90:10
XGBoost,"(0.5, 0.5)",0.8292682926829268,0.8571428571428571,0.8321167883211679,0.8256880733944955,0.6557005821908798,0.9395968660014733,0.9568404674610074,0.8288961984399014,50:50
XGBoost,"(0.7, 0.3)",0.83203125,0.9352941176470588,0.8324607329842932,0.8307692307692308,0.6111725136318308,0.9451469995972615,0.9812047654887174,0.8316145518128885,70:30
XGBoost,"(0.3, 0.7)",0.8170212765957446,0.693069306930693,0.8536585365853658,0.7973856209150327,0.626830328840565,0.9392635102821616,0.9275780923960858,0.8250424487531173,30:70
XGBoost,"(0.1, 0.9)",0.8035714285714286,0.36065573770491804,0.8148148148148148,0.8020304568527918,0.4511620023925308,0.9140815942846399,0.7979476533796861,0.8083973640335234,10:90
XGBoost,"(0.9, 0.1)",0.8239700374531835,0.9715639810426541,0.8333333333333334,0.7142857142857143,0.36209331373264647,0.9202477739063104,0.9928686115435962,0.7715167498104596,90:10
RF,"(0.5, 0.5)",0.8252032520325203,0.8615384615384616,0.8175182481751825,0.8348623853211009,0.6491931398740047,0.9293845844773321,0.9495696767950046,0.8261448025104683,50:50
RF,"(0.7, 0.3)",0.8203125,0.9393939393939394,0.8115183246073299,0.8461538461538461,0.5980261279419979,0.9372935964559002,0.9781615174033693,0.8286551463611492,70:30
RF,"(0.3, 0.7)",0.825531914893617,0.735632183908046,0.7804878048780488,0.8496732026143791,0.6220333709226582,0.9270683883309422,0.9088114896799941,0.814346101342788,30:70
RF,"(0.1, 0.9)",0.8303571428571429,0.39215686274509803,0.7407407407407407,0.8426395939086294,0.45295873673469483,0.9091934574168077,0.7876229506264534,0.7900490345347908,10:90
RF,"(0.9, 0.1)",0.8127340823970037,0.9803921568627451,0.8130081300813008,0.8095238095238095,0.39468759858916724,0.9058265582655827,0.9912916017586627,0.8112640991916525,90:10
ET,"(0.5, 0.5)",0.8333333333333334,0.9,0.7883211678832117,0.8899082568807339,0.6740222986872135,0.9392620370990424,0.9561621026627309,0.8375759764780347,50:50
ET,"(0.7, 0.3)",0.828125,0.950920245398773,0.8115183246073299,0.8769230769230769,0.6230244142345176,0.9395892066049134,0.9790717912156451,0.8435870709026544,70:30
ET,"(0.3, 0.7)",0.8723404255319149,0.8095238095238095,0.8292682926829268,0.8954248366013072,0.7207400719379264,0.934361549497848,0.9178771139366768,0.8617119155925922,30:70
ET,"(0.1, 0.9)",0.8705357142857143,0.4782608695652174,0.8148148148148148,0.8781725888324873,0.5585363192858649,0.9304380522654635,0.8204457003376128,0.8459007242844692,10:90
ET,"(0.9, 0.1)",0.8164794007490637,0.9758454106280193,0.8211382113821138,0.7619047619047619,0.3760252153830516,0.9155052264808362,0.9922098462010516,0.7909672012378209,90:10
GBDT,"(0.5, 0.5)",0.8211382113821138,0.8549618320610687,0.8175182481751825,0.8256880733944955,0.6403822248248878,0.9245965311725708,0.9471385271134926,0.821593005873717,50:50
GBDT,"(0.7, 0.3)",0.83984375,0.9411764705882353,0.837696335078534,0.8461538461538461,0.6301742337544624,0.9359645590012082,0.9777842974809736,0.8419144706178191,70:30
GBDT,"(0.3, 0.7)",0.8297872340425532,0.7282608695652174,0.8170731707317073,0.8366013071895425,0.6383402625361465,0.922285987565758,0.9081644232705819,0.8267795853210519,30:70
GBDT,"(0.1, 0.9)",0.8035714285714286,0.34545454545454546,0.7037037037037037,0.817258883248731,0.3940912874104472,0.8862568151908253,0.7709676660195622,0.7583588220802108,10:90
GBDT,"(0.9, 0.1)",0.8277153558052435,0.9761904761904762,0.8333333333333334,0.7619047619047619,0.3910396936498728,0.8993418505613627,0.9907661081320657,0.7968190728895957,90:10
AB,"(0.5, 0.5)",0.8170731707317073,0.8333333333333334,0.8394160583941606,0.7889908256880734,0.6290179597447172,0.9217504855019085,0.9447629650810357,0.8138129815923538,50:50
AB,"(0.7, 0.3)",0.83984375,0.936046511627907,0.8429319371727748,0.8307692307692308,0.6245062594982322,0.931614981876762,0.9752954478063639,0.8368284872277256,70:30
AB,"(0.3, 0.7)",0.8085106382978723,0.6761904761904762,0.8658536585365854,0.7777777777777778,0.6170545566465554,0.9211302407141718,0.89311004585308,0.8206349580765763,30:70
AB,"(0.1, 0.9)",0.7544642857142857,0.28125,0.6666666666666666,0.766497461928934,0.3121889314726103,0.8454596728708403,0.705756035075513,0.7148414565150951,10:90
AB,"(0.9, 0.1)",0.8426966292134831,0.9811320754716981,0.8455284552845529,0.8095238095238095,0.43601745760597505,0.9175377468060397,0.9926692107139397,0.8273302944911018,90:10
