,AAC_XGBoost,AAC_RF,AAC_ET,AAC_SVM,AAC_MLP,AAC_GBDT,AAC_AB,PAAC_XGBoost,PAAC_RF,PAAC_ET,PAAC_SVM,PAAC_MLP,PAAC_GBDT,PAAC_AB,CKSAAGP_XGBoost,CKSAAGP_RF,CKSAAGP_ET,CKSAAGP_SVM,CKSAAGP_MLP,CKSAAGP_GBDT,CKSAAGP_AB,PSAAC_XGBoost,PSAAC_RF,PSAAC_ET,PSAAC_SVM,PSAAC_MLP,PSAAC_GBDT,PSAAC_AB,DPC_XGBoost,DPC_RF,DPC_ET,DPC_SVM,DPC_MLP,DPC_GBDT,DPC_AB,GTPC_XGBoost,GTPC_RF,GTPC_ET,GTPC_SVM,GTPC_MLP,GTPC_GBDT,GTPC_AB,QSO_XGBoost,QSO_RF,QSO_ET,QSO_SVM,QSO_MLP,QSO_GBDT,QSO_AB,AAE_XGBoost,AAE_RF,AAE_ET,AAE_SVM,AAE_MLP,AAE_GBDT,AAE_AB,AAI_XGBoost,AAI_RF,AAI_ET,AAI_SVM,AAI_MLP,AAI_GBDT,AAI_AB,ASDC_XGBoost,ASDC_RF,ASDC_ET,ASDC_SVM,ASDC_MLP,ASDC_GBDT,ASDC_AB,CTD_XGBoost,CTD_RF,CTD_ET,CTD_SVM,CTD_MLP,CTD_GBDT,CTD_AB,All_data_XGBoost,All_data_RF,All_data_ET,All_data_SVM,All_data_MLP,All_data_GBDT,All_data_AB
ACC,0.8552511592461993,0.8567701269681354,0.8628640808049497,0.8344221851952313,0.8252799628007905,0.8466191343433952,0.8059906226992677,0.8395164102762817,0.8547409617545627,0.8608349155913771,0.8410289198021209,0.8186745198331202,0.8278335335374123,0.8064969452732464,0.8303690213249635,0.8384921403753504,0.8461115201301972,0.8247800984229083,0.8156404593069064,0.8344299350305473,0.8252915875537645,0.8593146562302219,0.8644011314759561,0.8649035791322767,0.8115782539621034,0.8136100024541145,0.8385024734891049,0.8054946332390436,0.8547396701153434,0.8537192751320701,0.8593146562302219,0.8471189987212773,0.8344247684736699,0.84203769003242,0.8247710569483733,0.8278257837020963,0.8450820836723887,0.8481342271476731,0.8237597034396351,0.8171516771935263,0.827313002932021,0.8237648699965125,0.8451001666214593,0.8593107813125638,0.858295552886168,0.8344260601128892,0.8222420273569186,0.8395073688017461,0.8019284173544646,0.8334198731610287,0.845095000064582,0.8486470079177485,0.8308779271773808,0.8242608594567364,0.8181733638160189,0.8054752586507536,0.8374820785058317,0.840525180506581,0.844587385851384,0.6053900104622776,0.7546905878250086,0.8354464550961624,0.8049831441081876,0.8471344983919092,0.8577918135906278,0.8618566022138696,0.8501711421965616,0.8420428565892975,0.8400214412110409,0.8364681417186551,0.8501633923612456,0.8481316438692345,0.8522003074101342,0.8176631663243823,0.8303573965719895,0.8425530540809341,0.8247762235052505,0.8471267485565932,0.8542320559021453,0.8557574818201781,0.8313803748337014,0.8415391172937576,0.8511876622621768,0.8222329858823834
F1,0.8675091237535482,0.866458855382497,0.8721093224730094,0.8476257652180257,0.8424466770872705,0.8598164216345084,0.8244601191475367,0.8545942141093794,0.864489151918239,0.8698197174296792,0.8573321694136453,0.836960780159615,0.8438957619362126,0.826571974573557,0.8454490290161978,0.8496567729153444,0.8559896483021315,0.8340387242381901,0.8310899425227791,0.8492008449416568,0.8425141453388573,0.8714254813080645,0.8750371234351902,0.8753458444327548,0.8172940264590484,0.8303266167003702,0.853872893457954,0.825011093769311,0.8667749069617978,0.8653042316535432,0.8688731029604895,0.858808523103692,0.8491854508184675,0.8546532929952807,0.8378506919064874,0.8440369929807403,0.8570297463189741,0.8590731309346508,0.8346799332858726,0.8328185935361372,0.842813242207108,0.8411446015660564,0.8588889288906673,0.8700087657003797,0.8675379064322332,0.8482446062012468,0.8391078454938766,0.8538515239299276,0.8205005122572515,0.8498521912644401,0.8573575090882974,0.8612914263260156,0.8514447718156095,0.8441768644503375,0.8388228051136093,0.8266945970109478,0.8544942326883092,0.8563986706922938,0.8589107691442622,0.7286212874184914,0.7641029060259728,0.8523455036221325,0.8245064857536957,0.8616152597781106,0.8687498672655007,0.8715610552187971,0.8620195596791076,0.856512148393165,0.8538373509229693,0.8533784387420551,0.8637686140580765,0.8611646263096322,0.8634482620274075,0.8323493564174195,0.8427539339318993,0.8565470472275731,0.8406843037160586,0.860860685816597,0.865423262644868,0.8656696280885804,0.8446588224412432,0.8581921786620708,0.8637832134938961,0.8404411057154825
F2,0.8593252961073803,0.8482239207147731,0.8544744788130945,0.836723702213491,0.8421969229450224,0.8528631192426335,0.8228437676532326,0.85224895534731,0.8469429158149419,0.8507894496106772,0.8597315433864992,0.8381286841895799,0.8408622967198476,0.8291386363360157,0.8396857478992711,0.8333645734559166,0.8368508638905044,0.8095116946161444,0.8228694914325718,0.8438747294411983,0.8427601354032974,0.8637611053101407,0.8629047420191063,0.8619821345959131,0.7824345044761459,0.825825274245417,0.8512777189836438,0.8257262581927067,0.8569443041811388,0.8540763550633972,0.851382109783491,0.8461023341119969,0.844671825231089,0.8438821859442852,0.8241765984035803,0.8416941858507367,0.8450423155085327,0.8444232760971099,0.8150889582058658,0.8264066639549277,0.8374617712431534,0.8419604824886946,0.8539759196634155,0.8571116003549865,0.8486941439752631,0.8393615956882418,0.8370745461892488,0.8483235060286717,0.8179378214712709,0.8502769507972502,0.8468035086541977,0.8528050998713784,0.8647812865087741,0.8522394236844211,0.8472811705906047,0.8326457862038804,0.8580487448383574,0.8566198408672042,0.8549075689379478,0.8491332384948194,0.738299297192804,0.854144474346634,0.825430679096689,0.8595286307187747,0.8560993204711634,0.8552303507388735,0.850710432955991,0.8526038370594327,0.8475481155857052,0.8576688937896773,0.8593766754738935,0.8538662682695289,0.8506563691048885,0.8224595883473563,0.8286901114467795,0.8519816068311424,0.8377144368880604,0.8555584022838343,0.8529808732584282,0.8485971820229615,0.8332590010622084,0.8606184574887511,0.8553409198436623,0.8422005170809989
GMean,0.856539195612531,0.8600268066795266,0.8664438706902946,0.8363750262793148,0.8239025991160981,0.847561730654198,0.8051793781537733,0.8394936360832475,0.8583238418635981,0.8646356371213599,0.8394708740991031,0.8172339965577565,0.8274111241406545,0.8040714286714172,0.8313750225320506,0.8418028258950837,0.8498615759874341,0.8294590098701861,0.8167806036596603,0.8352123563782552,0.8242641838635768,0.8604894088917892,0.8666988651127763,0.867370199845251,0.8170499903942442,0.8137281374559537,0.8381350200926821,0.8037061415038538,0.8565808404850959,0.8559482999075534,0.8627385381548673,0.8498513337593219,0.8346200522004222,0.8439612301136815,0.8267822258628728,0.8274272796890008,0.8477138489197735,0.8512173288457274,0.8277772630229105,0.8178987106631321,0.8274118177822689,0.8225104327232022,0.8456359015880743,0.8622072799309493,0.8619821636390362,0.8359686072153139,0.8215741517517354,0.8400008256578566,0.8013342190604004,0.8320722318071443,0.8471838948245832,0.8503233738066461,0.8255907742568184,0.82062116152886,0.8145291805900887,0.8021504573284635,0.8358252479486247,0.8398798899591527,0.845192958310671,0.4009034180380381,0.7575297661896135,0.8342054378197403,0.803045872289608,0.8468857167842774,0.8604243183128879,0.8651019846362435,0.852572352361622,0.8420180121521339,0.8409464001480751,0.8342226371261452,0.8511298749706372,0.8495534323777783,0.8549862451380692,0.8195294954568617,0.833086563402318,0.8435206580060106,0.8248581306423921,0.8479407595875669,0.8568912355396282,0.8593154587032569,0.8334509173195885,0.8398519246242072,0.8528467745801989,0.8206888855436125
SEN,0.8542011636347141,0.8366888770433547,0.8434737785237945,0.8301345287241604,0.84229933160943,0.8485615803958929,0.8221946120461523,0.8511975079012233,0.8360493316094301,0.8389330891137021,0.861776754525246,0.8394645881534576,0.8391230209136686,0.8311932548503682,0.8366943965582422,0.8233513284640626,0.8249272255742565,0.794552768074521,0.817932960577054,0.8409577492476826,0.8435117913472153,0.8590306257466468,0.8553346678461795,0.8535472523401232,0.7613110171029351,0.8234328358208955,0.8498656603003221,0.8265208531809041,0.8508733120113717,0.8471216107910298,0.840406818491131,0.838428620574937,0.8419767991350241,0.837320842595533,0.8156123448109,0.8406051996854632,0.8379570611985665,0.8354418447277292,0.803378358965053,0.8227332940162408,0.8343446521193425,0.8429532050991245,0.8510535468553886,0.8492902319708449,0.8369003954392173,0.8341509398297268,0.8361506487320238,0.8450150652512514,0.8167167203496197,0.8507833552601733,0.8403020989278532,0.8476839019189766,0.874593805289661,0.8582348326755282,0.8536781139893239,0.8371199095706876,0.8610898962633641,0.8573791377459209,0.8529423172889352,0.9552013488787068,0.7236903060684419,0.8560206754978905,0.8264799104780052,0.858496574876378,0.8483653162757641,0.8450488250238172,0.8438807482345114,0.8503038001481953,0.843748147560072,0.8609210217907423,0.8573483456577297,0.8497124181523992,0.8430368673350573,0.8169531899771659,0.8207893284338189,0.8500028920745816,0.8365576562476372,0.8525150652512515,0.8454043044655144,0.8380393813606739,0.8262929085575165,0.8627574135402017,0.8502797751364757,0.8438824494548534
PREC,0.882576149168953,0.8996445465105752,0.9049395091084564,0.8689496562484758,0.8439621940386702,0.8728654218900239,0.8289509944185346,0.8606641248642086,0.8973920828864038,0.9053266965353675,0.8550481035042852,0.8372010881151191,0.8501273519733278,0.8236634030962522,0.8586492164303013,0.8806847803512428,0.8916978021978021,0.8816277997110733,0.8472462940901438,0.8606456629899693,0.8442771800451103,0.885861324070607,0.8975099020256592,0.8997102799556546,0.8857739670914768,0.8402609700361137,0.8595335210278059,0.8250809063954939,0.8852935505573791,0.8863571812159993,0.9011059053022926,0.8835809202760518,0.8580501353370724,0.875427192263286,0.8631302826737922,0.8499990805158362,0.8811606341324121,0.8871342783438838,0.8737642361867815,0.8462488694837674,0.8537710184340851,0.8416512343777786,0.8686103417181631,0.8949942327273066,0.9024462103154468,0.8662246557134872,0.8443440186376197,0.8646531962660996,0.8268509735304758,0.8500455528794391,0.8773186901159764,0.877752309484608,0.8324323870194169,0.8330319791716256,0.82745274853886,0.8186800676941361,0.8511158620614244,0.8584835757784305,0.8683935960327153,0.5899994219706194,0.8205516760354021,0.8519486134593135,0.8246592619876344,0.8665737597017218,0.8929383030382112,0.9019707773661837,0.884080947458058,0.864284609915184,0.8660201438420236,0.847701150658431,0.874929723580547,0.8764676513565244,0.8889647609340134,0.8535197023079395,0.8724391854922071,0.8685378090045983,0.8489000118551381,0.8717889607678269,0.8893249843629747,0.8979104801875296,0.8665543501021192,0.8561575488665796,0.8802846478453807,0.8394581471408898
SPEC,0.8594007642608659,0.8844924354747075,0.8910244596354285,0.8442457582951626,0.8064182052836021,0.8471875604391255,0.7895483929839369,0.8294454001013492,0.8823525276952726,0.8921500812620554,0.8187698733070125,0.7969008921632648,0.8165062843271167,0.7786027489035199,0.8285225268414717,0.8621457669673646,0.8765598506905136,0.8678367460489061,0.8168638549833375,0.8310948982123355,0.806911802866926,0.8626999751911282,0.8790804018802406,0.8820105057772466,0.8785544118611568,0.8056224217182804,0.8273157396105091,0.7822479941129671,0.8632762103047567,0.8657933966130104,0.8864470801937138,0.8631586399035021,0.8279400626713368,0.8520217838333716,0.8389265944229187,0.8157652002146412,0.8597424624390493,0.8687839870222259,0.8556357260838869,0.8146009134831271,0.8217532634401937,0.8037281016415623,0.8410979611602769,0.8769684321782641,0.888671518458958,0.8395517360590998,0.8083603424060446,0.8358558037579655,0.7875263793455993,0.8142311589701852,0.8551767812442916,0.8541915226457698,0.7811298965022175,0.7859271917480894,0.7788282898971195,0.7696122351518735,0.8130652971520791,0.8244597629117264,0.8394078462796003,0.16991974942200697,0.7996875918905351,0.8147294163943535,0.7813764554244623,0.8363651119494054,0.8740663846160169,0.886699868172465,0.8629402991859368,0.8344348349438413,0.8390255841700945,0.8091898511081883,0.8475411187341872,0.8512269278749567,0.8693205858114388,0.8250327514011813,0.8494934880485483,0.8401736746837288,0.8155821597204902,0.8446393949117826,0.8700113065720698,0.8824688467497779,0.8419941913020665,0.8189492251798475,0.856650012236695,0.79926926382063
MCC,0.7098416301261495,0.7157794957480326,0.7291041696219455,0.6706606451525522,0.6475183550547758,0.6923748537437984,0.610073205290532,0.6785756792518184,0.7131088703789886,0.7256124118114411,0.6801708462601905,0.6358447210032194,0.6533259160154794,0.6093878192287379,0.6627781467244395,0.6806440032193801,0.6960703661615384,0.6575214186571106,0.6315366200489714,0.6694130675472337,0.6495123887329427,0.7182802798576198,0.7298989297134164,0.7307362642179133,0.6359306881833504,0.6269249731301374,0.6750402092111132,0.6076320719471805,0.7100800066780778,0.7085475329183571,0.7213987594852082,0.6972776362182879,0.6672918618040453,0.6855787674826279,0.6503721337631456,0.6546471534517991,0.6938860099449506,0.6995543308096502,0.6547999582582309,0.6347882126394724,0.6538145730248711,0.6457761161743856,0.6892242535979316,0.7217247518029833,0.7200640047088205,0.670506236453846,0.6429200268340923,0.6779351711553837,0.6023979618159426,0.6637043024514474,0.691229278626737,0.6980602970398324,0.6602014179954583,0.6460320963333952,0.6345216967385745,0.6076915439107143,0.6742987586159807,0.6807381146888372,0.6900989269640728,0.2064619231308759,0.5232587053645724,0.6704086135148191,0.6071235666351624,0.6927972924128809,0.71797803550672,0.7265591060717905,0.7026904992571235,0.6823223231020992,0.679471656521615,0.6703812716060465,0.702963486782876,0.6980141580543072,0.7082674443262968,0.6392632614407342,0.6675501400148676,0.688637930334671,0.6508157789697946,0.694193706251497,0.7109636988382926,0.7152766728465845,0.6642971423889974,0.6813937564610966,0.703287110106406,0.6425629405244027
AUC,0.9415773828044498,0.9479144683747384,0.9466489463246646,0.9266138485720884,0.9172563488913393,0.9346671914121444,0.9036628974981353,0.9377094196516655,0.9423913907053864,0.9452900267239531,0.9295770425260212,0.9240043565991582,0.9303969458503424,0.9101800299022436,0.933160006638904,0.9331229656699405,0.9302104854008441,0.919675707216606,0.9169929798563663,0.9324055855568594,0.9175395628113371,0.9431949590893641,0.9463692745991679,0.9380678119004914,0.9059034215399377,0.9167151668015923,0.9323434213806907,0.9135140873320076,0.936512921494975,0.9449365285831692,0.9449200191418352,0.9391919783094169,0.9262967661587173,0.9335075792014568,0.9131072423877573,0.9288378050228985,0.9360346289246324,0.9279559189122143,0.9255996051508356,0.915574117034107,0.9257333641044176,0.907840680167641,0.9383585611944569,0.9456081516946963,0.9445315114884737,0.9236222650313322,0.9219291088205385,0.9320382407167696,0.9044993050860164,0.9340323349631696,0.9433685375155243,0.9437875111707033,0.924700794256267,0.9229540838753584,0.9256991440468141,0.9066552789020514,0.9353740779674096,0.9392531850434853,0.9409983338764712,0.7679199930622397,0.8370463202051249,0.9320952782433972,0.9051290825923527,0.9408323332562798,0.9477585357886797,0.9476349109978518,0.936335429239046,0.9333957290339925,0.9376431446727203,0.9277825108155758,0.9443623884606345,0.9434348515299638,0.94493631225284,0.8967010649167664,0.9228088508400978,0.9402188789374314,0.9258730479146786,0.9452980513120324,0.9470794260866118,0.9473739135573936,0.9220564799722852,0.9358253855554743,0.9419161789988767,0.9231625947817502
AUPR,0.9595714937675401,0.9629841005895903,0.9615138860462586,0.9443102875553183,0.932958036990686,0.9548219862616826,0.9255830886899632,0.9558628655094639,0.9593220500600882,0.9611602872597386,0.9499067401031542,0.9460772553913024,0.9506260076012077,0.9354048908912933,0.9529231079688394,0.95198750192762,0.9430256072104916,0.9388065286246812,0.937333051523803,0.9516488277324138,0.9415178240342538,0.959709171521531,0.9613779789689033,0.9476369714851831,0.9170243079509754,0.9388936933256575,0.9509383983782607,0.9366116517081989,0.9555216189845884,0.9609986159324022,0.9605913623129538,0.9588411210310692,0.9485377628563821,0.9525710061522765,0.9374019274540274,0.9483656788022575,0.9535474692624495,0.939410787135636,0.9406155967482368,0.93408511757312,0.9474685578617684,0.9168886632369218,0.9573612590115793,0.9617143923217839,0.960897978532331,0.9409274614557839,0.9456447147407221,0.9523245954984126,0.9158648942883879,0.9523965450985308,0.9594571315374021,0.9599075529021214,0.9438284697356257,0.9441177910857889,0.9454512132153307,0.9318587343529909,0.9547912470191326,0.9559713420735172,0.956836445415747,0.726838728683226,0.8276930502114223,0.9505202889361459,0.9184563999876669,0.9587381345030129,0.9628296911417044,0.9628526089371698,0.9552291447416448,0.9533271707933085,0.9565651566377091,0.9492702723002535,0.9605167016961718,0.9597854447267276,0.959601561877973,0.8991355735099994,0.9457826818853654,0.9579683883765174,0.9444478011671331,0.9618079379666874,0.9624589193262849,0.962583816679716,0.9392372135451061,0.9526945113551444,0.9589599638505184,0.9440807269065505
