dt_max_depth,dt_min_samples_split,dt_min_samples_leaf,dt_max_features,model,lgbm_num_leaves,lgbm_learning_rate,lgbm_n_estimators,lgbm_max_depth,lgbm_min_child_weight,lgbm_subsample,lgbm_colsample_bytree,xgb_max_depth,xgb_learning_rate,xgb_n_estimators,xgb_min_child_weight,xgb_subsample,xgb_colsample_bytree,rf_n_estimators,rf_max_depth,rf_min_samples_split,rf_min_samples_leaf,rf_max_features,et_n_estimators,et_max_depth,et_min_samples_split,et_min_samples_leaf,et_max_features,gbdt_n_estimators,gbdt_learning_rate,gbdt_max_depth,gbdt_min_samples_split,gbdt_min_samples_leaf,gbdt_subsample,gbdt_max_features,ab_n_estimators,ab_learning_rate,svm_C,svm_kernel,svm_gamma,mlp_hidden_layer_sizes,mlp_learning_rate_init,mlp_max_iter,mlp_activation,mlp_solver,lr_C,lr_solver,lr_penalty
10.0,2.0,8.0,,DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,LGBM,22.0,0.05616358056178433,132.0,13.0,1.0,0.7062349861038181,0.9497015949765695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,XGBoost,,,,,,,,9.0,0.030900416663075223,154.0,1.0,0.9430037979734806,0.7518551792772115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,RF,,,,,,,,,,,,,,125.0,17.0,5.0,2.0,auto,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ET,,,,,,,,,,,,,,,,,,,87.0,8.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,
,,,,GBDT,,,,,,,,,,,,,,,,,,,,,,,,87.0,0.060611987314081524,14.0,7.0,9.0,0.8986337035600634,sqrt,,,,,,,,,,,,,
,,,,AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,0.07655018807822357,,,,,,,,,,,
,,,,SVM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.70012678026891,rbf,scale,,,,,,,,
,,,,MLP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(200,)",0.0010952459484903586,255.0,tanh,adam,,,
,,,,LR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.084940795049919,liblinear,l1
