,AAC_XGBoost,AAC_RF,AAC_ET,AAC_SVM,AAC_MLP,AAC_GBDT,AAC_AB,PAAC_XGBoost,PAAC_RF,PAAC_ET,PAAC_SVM,PAAC_MLP,PAAC_GBDT,PAAC_AB,CKSAAGP_XGBoost,CKSAAGP_RF,CKSAAGP_ET,CKSAAGP_SVM,CKSAAGP_MLP,CKSAAGP_GBDT,CKSAAGP_AB,DPC_XGBoost,DPC_RF,DPC_ET,DPC_SVM,DPC_MLP,DPC_GBDT,DPC_AB,GTPC_XGBoost,GTPC_RF,GTPC_ET,GTPC_SVM,GTPC_MLP,GTPC_GBDT,GTPC_AB,QSO_XGBoost,QSO_RF,QSO_ET,QSO_SVM,QSO_MLP,QSO_GBDT,QSO_AB,ASDC_XGBoost,ASDC_RF,ASDC_ET,ASDC_SVM,ASDC_MLP,ASDC_GBDT,ASDC_AB,CTD_XGBoost,CTD_RF,CTD_ET,CTD_SVM,CTD_MLP,CTD_GBDT,CTD_AB,All_data_XGBoost,All_data_RF,All_data_ET,All_data_SVM,All_data_MLP,All_data_GBDT,All_data_AB
ACC,0.7344214608920492,0.7542420814479638,0.7579104718810601,0.7395496660202543,0.6955343675931911,0.7241623572505926,0.6837804352510235,0.7417690152984271,0.7556830424477484,0.7667151475975005,0.7043174962292609,0.7109432234432235,0.7153576815341521,0.675719133807369,0.721210407239819,0.7315045248868778,0.7307773109243698,0.7028846153846154,0.7036226028873088,0.7241704374057315,0.6684065934065935,0.7490734755440638,0.7571536306830424,0.7622899159663865,0.752022732169791,0.7278334410687352,0.7292636285283345,0.6874434389140271,0.718288084464555,0.7249003447532859,0.7226917690152984,0.7080101271277742,0.6838181426416721,0.7153738418444301,0.6845318896789485,0.7373330101271278,0.7476244343891404,0.7571778711484594,0.7322048049989227,0.7182800043094161,0.717544710191769,0.6727887308769661,0.7336969403145874,0.7586322990734755,0.7600948071536306,0.7527634130575306,0.7307638439991381,0.740298427063133,0.7123814910579617,0.7564344968756733,0.7417636285283344,0.7491004093945272,0.6823313940961,0.7021654815772462,0.7366192630898514,0.7197748330101271,0.7505683042447748,0.7579131652661064,0.7644877181641887,0.7329400991165697,0.7329400991165697,0.7534906270200388,0.7175339366515837
F1,0.7237447061777612,0.7388106250631449,0.7388333595921858,0.7217852101729793,0.6871485354718831,0.7139358722172895,0.6752272279639702,0.7317128212464288,0.7343316874778278,0.7458299350376514,0.7070098021254847,0.7026953528171325,0.7037822494004821,0.6735380640966968,0.7044093935094698,0.70761392006949,0.7039835170876797,0.6590005673661057,0.6839554831915944,0.6987477661242695,0.6576437467484532,0.739462974933143,0.7440204791484188,0.7439562908809136,0.7311734079946145,0.7183678478128079,0.7109584846914212,0.6754426136290868,0.706646109967457,0.7081403570368454,0.7007280315973003,0.6670684919337642,0.6632322713646541,0.7010791194716713,0.6738694013358792,0.7267993813566138,0.7300978797113251,0.7379761299452717,0.7195979549797823,0.7061228547890698,0.7021470908478633,0.6589974663486736,0.725220241397766,0.7402538561801808,0.7384151748957333,0.7288296922224424,0.7158992655356333,0.7275398477782545,0.711291916899749,0.7486367665096498,0.7273539666518667,0.7336173872749717,0.6509831734366065,0.6822029539867182,0.7272826952531951,0.7123661071807428,0.7402193576246784,0.7434466496494894,0.7491911854481149,0.7098165474490642,0.7278006279595568,0.7407196077151867,0.7149867204750513
F2,0.7118861282126341,0.7172737886938629,0.7108497804884011,0.7005653475430794,0.6811950840409366,0.7034354172751514,0.6700729353305767,0.72157908044362,0.705048338982335,0.7151042480798662,0.7153675405935445,0.6980011406649524,0.6937227693710243,0.6771417479759154,0.6857415707232012,0.6767097998983207,0.6694352864460168,0.6090451706871229,0.6634451023655539,0.6701454820371758,0.6509754581328973,0.7293760323190308,0.7281809829845622,0.7172588839036765,0.7023815130406856,0.7068691258783261,0.6873624965558921,0.6640093248248224,0.6947391788090037,0.6888789054969113,0.6732623101474325,0.6203790577178904,0.6461062170344792,0.6869603262437838,0.6645537980866886,0.7157017788062093,0.7077125980048585,0.7097215096029065,0.7049544539175517,0.6933754659719387,0.6864870089046697,0.648778826240617,0.7185359059235391,0.7161195285153503,0.7077848873534788,0.6955293738873944,0.6991408918420049,0.7118601784434433,0.7141805048013217,0.7388258858174309,0.7095070801335774,0.7127133437194733,0.6182139993798834,0.6611242391251377,0.717156504527029,0.7045065354637263,0.7280064980112588,0.7244952521419505,0.7262659498439297,0.6805689934686264,0.7248979765580039,0.7243934857579625,0.7160789121100515
GMean,0.7327704472801417,0.7513218347091513,0.7547430361095553,0.7359727176367418,0.6943401915074534,0.7229763223789177,0.6829377122685291,0.7402415544308198,0.7507139607726717,0.7622524682263826,0.7037661260034505,0.7093586300143221,0.713219972079005,0.6735163816270537,0.7184546927697547,0.7269700654715768,0.7248594073809389,0.6913709206026806,0.7006012105898811,0.7186486040467435,0.6671227292063451,0.7468102668752866,0.7546215254488386,0.7584252690375122,0.7478353985119301,0.726716340352076,0.7263972423957694,0.6859654161104496,0.7165035436562839,0.7220834559079404,0.7181259088546494,0.6971108602389179,0.6776344543112996,0.7139770247949342,0.6837771185156194,0.735854083318048,0.7446294355422729,0.753494784925608,0.7305411423078423,0.7164335491179102,0.7140592645695963,0.6694289122441286,0.7310199031703078,0.7555106322233339,0.7556804443782082,0.7468489931981056,0.7276590772022051,0.7375370046384269,0.7109440704610293,0.755616749043929,0.7394388956627596,0.7468720616778587,0.6768389282289894,0.6995178846358683,0.7362036570107173,0.7199562197010057,0.7491104254460226,0.7557293995090644,0.7622126170621228,0.7282419935885779,0.7319243180201433,0.7515518264823222,0.7168363047849702
SEN,0.7045614245344906,0.70387151814099,0.6937121537064137,0.687535638593127,0.677699229197154,0.6969398906242115,0.6668939546853712,0.7154611570873493,0.6872419355856084,0.6964994543826009,0.7212202591209567,0.6957150899480244,0.6880053268658223,0.6799433567139325,0.6745302328808599,0.6581356127314931,0.6488780939345007,0.5801683844678811,0.6509397707776152,0.6531251576928899,0.647154116415199,0.7234498788918605,0.7184394238532573,0.7009227399455014,0.6850125523540394,0.7000501463390018,0.672873274839784,0.656675849649291,0.6878878456628148,0.6774642667911389,0.6570870338598174,0.5930123126608466,0.6367305375435233,0.6786450711510319,0.6588402634102034,0.7089847100973911,0.6941673342332342,0.6924286124287227,0.6958178268658223,0.6856584624312461,0.677082571151032,0.6425401013019124,0.7146537694908413,0.7014071725034061,0.689200875510925,0.6754908191199475,0.6891421349094211,0.7022502775394862,0.7165769919765859,0.7327659017510219,0.6983996537064137,0.6996244543826008,0.5984189710854316,0.6482844590503103,0.7110168983700863,0.6996327332593228,0.7207505708482617,0.7127913376141697,0.7122124470151889,0.6627203758136953,0.7234351346066509,0.71433909332896,0.7170236570873492
PREC,0.7460916739147944,0.7791919422234382,0.7928277809789014,0.7625977926048526,0.6991016090019494,0.7336722736406294,0.6849127966424143,0.7514995589306613,0.7918288662741061,0.8064754681931678,0.6941076366740859,0.7142249824864753,0.7249512737124337,0.6690701428478285,0.7413694028167657,0.7693943642515677,0.7744153136690183,0.7670783418819032,0.7237720023569002,0.7568058112670639,0.6714370972822675,0.7599201807781975,0.7742610593276744,0.7956676492034911,0.7882393868757506,0.7412261113499503,0.756271945328149,0.6957478070046232,0.7313788037854089,0.7470816252885893,0.7574764007921904,0.7652082716227133,0.7022218432518309,0.7297366735587957,0.691585976744879,0.7484030800327811,0.7741255796790149,0.7925681908281625,0.7468917008988066,0.7309468502491269,0.73321374702604,0.6787027958377176,0.7389480794184042,0.7871724307444994,0.7986257482656639,0.7953830077968009,0.7494943988519126,0.7576722038624502,0.7083102676011657,0.7670347256991631,0.7607699440169009,0.7723806553806554,0.7160270198958066,0.7232423250647807,0.7469234398915212,0.7271536874097432,0.7645663786098339,0.7793864445244234,0.7932551790791793,0.7666995364079413,0.7346954336306024,0.771778601554223,0.7140163513250315
SPEC,0.7637495011800244,0.8032524675921884,0.8224087566424092,0.7902145826292228,0.7132219290049158,0.7512577408936721,0.700292443205114,0.7679472473925222,0.8224243817729668,0.836517981577732,0.6873052686050126,0.7268688511884234,0.7430499690119345,0.6697366893220975,0.7682350632770245,0.8052552215106445,0.8125278337944808,0.8255434378917628,0.7563225565168435,0.7947125485962305,0.6900601436428653,0.7738189167517362,0.7947675578148559,0.8225648149028537,0.8190277699743366,0.7565603103243705,0.7856346272255295,0.7169234599104328,0.7497699074910443,0.7730754538505444,0.7888886622289337,0.8212737492332218,0.7297496002957337,0.754107686336813,0.7107798302989232,0.7657284961409702,0.8014296835990298,0.8214420874690372,0.7682510889041981,0.750852573738198,0.7564679367883802,0.7004416757354659,0.7505562062425033,0.8161603496249017,0.8306739407224673,0.8284272843649866,0.7718110917969938,0.7768649528292781,0.7074736068408279,0.78033406027791,0.7843435615558977,0.7980585739266332,0.7664321571698546,0.756894736523649,0.7637214721794593,0.7413566635577757,0.7810446709315235,0.8028890875044767,0.8173229855380384,0.8020196151141084,0.7423201287582214,0.7924034262917672,0.7175175202863061
MCC,0.46963399933286293,0.5102489620564665,0.5205222684875868,0.4810143268010133,0.3915291372383588,0.4490737979062063,0.36720113358342854,0.4846864357427071,0.5154116778930099,0.5389391165246895,0.4086020777950704,0.4238336308980296,0.4330529577769592,0.35051293850608156,0.44566425839874435,0.46920767793168155,0.4689662316544612,0.41919743782523844,0.4098613251425435,0.4534887471458503,0.3379236314408806,0.4994280738859008,0.5155721293723113,0.5283096580752824,0.5094680297148136,0.4582509436069714,0.4619726874465406,0.3742221559003247,0.43986779132413556,0.4540838125258436,0.4520348867264019,0.42582656609157993,0.37182172594315277,0.4345014518886711,0.37013961323972977,0.47603616026511775,0.4991279075055032,0.5186939696538511,0.46544865793826284,0.4381703739075739,0.43652395173465985,0.34452001468218246,0.4672131454140575,0.5211255828610684,0.5254378291203681,0.5111952590939065,0.46410875192522205,0.4817874820897711,0.42484283339120454,0.5139710851787751,0.4848324759902523,0.5000007887184719,0.3701312720033477,0.4077204324445006,0.47539741050875267,0.4409573046951487,0.5036579293204234,0.5180424904685934,0.5328753107070197,0.46973224035711364,0.4665287347813848,0.5088619403501877,0.4346504298367283
AUC,0.8062468610538206,0.8260260402021224,0.8305729869155236,0.7953323908046717,0.7512620112952684,0.7942606142288788,0.7660375848233624,0.8059543574978543,0.8299498713683378,0.8371026209677976,0.7803036070017397,0.7834134692193986,0.7856165258781781,0.7425940957010791,0.7881339096449558,0.7990270070210272,0.8124795796673215,0.7661506609164104,0.764758143484392,0.7842025557775514,0.7299986516493161,0.80818001290735,0.8335322069499046,0.8288024286744153,0.8219175291492095,0.7838591291354899,0.7889559050399497,0.7370240440643079,0.7845896590783044,0.8002370896241257,0.793115018839908,0.7777097872649172,0.7538781749851987,0.7786032156366718,0.7427842124280489,0.8118843658707116,0.8242012341619335,0.8313747629752799,0.7863930046042877,0.7839460587985698,0.7882341146015628,0.7410627337048207,0.819652964274953,0.8344027067870996,0.8309398440998716,0.8173357146782791,0.8005267274595141,0.8131991793704462,0.7850873544352946,0.8354684081970623,0.8324102329241729,0.8369987990434901,0.7579355711338669,0.7721032755626225,0.8253996136466146,0.7922174271534541,0.836439644609172,0.8402177771879247,0.8393916973070292,0.7887726851296456,0.8088381570229611,0.8282001141117167,0.7942771916135415
AUPR,0.8315632752880916,0.8519964003526072,0.8426029663652344,0.8116612689616785,0.765208598827068,0.8217253060170222,0.7754986299743827,0.8350082512831157,0.8536717420589,0.8576267773130499,0.7975966786719235,0.8068209465569145,0.8105793637708858,0.7504165320316105,0.8176156778208519,0.82719016366304,0.8227784827743054,0.8005838175806106,0.7876536829777506,0.8129918731457337,0.746697295456085,0.834106077041761,0.8551063222610462,0.8506034282371638,0.8480413262005608,0.8078769939973925,0.8280666771864229,0.7607981845723001,0.8048518776404237,0.8243899747197411,0.803495999626745,0.8059293272506907,0.7607176048194981,0.8000431296515474,0.7661230728446802,0.8320608126415208,0.8513104817524401,0.8514210418703932,0.8085335064028125,0.8088326961548109,0.8175204403544247,0.7601204588694157,0.8430186132630292,0.858321326969848,0.8507763291229633,0.8337733760513277,0.8274621370807603,0.840401946777128,0.8018574819968937,0.8550991702645732,0.8479562189682049,0.8446385350380128,0.7787321894560237,0.7939638349298838,0.8448379149142413,0.7997700453838323,0.8568753441126061,0.8593451876072319,0.8567978683539792,0.8046140385395045,0.8294846578897082,0.8496037360901265,0.8166834657073647
