,AAC_XGBoost,AAC_RF,AAC_ET,AAC_SVM,AAC_MLP,AAC_GBDT,AAC_AB,PAAC_XGBoost,PAAC_RF,PAAC_ET,PAAC_SVM,PAAC_MLP,PAAC_GBDT,PAAC_AB,CKSAAGP_XGBoost,CKSAAGP_RF,CKSAAGP_ET,CKSAAGP_SVM,CKSAAGP_MLP,CKSAAGP_GBDT,CKSAAGP_AB,PSAAC_XGBoost,PSAAC_RF,PSAAC_ET,PSAAC_SVM,PSAAC_MLP,PSAAC_GBDT,PSAAC_AB,DPC_XGBoost,DPC_RF,DPC_ET,DPC_SVM,DPC_MLP,DPC_GBDT,DPC_AB,GTPC_XGBoost,GTPC_RF,GTPC_ET,GTPC_SVM,GTPC_MLP,GTPC_GBDT,GTPC_AB,QSO_XGBoost,QSO_RF,QSO_ET,QSO_SVM,QSO_MLP,QSO_GBDT,QSO_AB,AAE_XGBoost,AAE_RF,AAE_ET,AAE_SVM,AAE_MLP,AAE_GBDT,AAE_AB,AAI_XGBoost,AAI_RF,AAI_ET,AAI_SVM,AAI_MLP,AAI_GBDT,AAI_AB,ASDC_XGBoost,ASDC_RF,ASDC_ET,ASDC_SVM,ASDC_MLP,ASDC_GBDT,ASDC_AB,CTD_XGBoost,CTD_RF,CTD_ET,CTD_SVM,CTD_MLP,CTD_GBDT,CTD_AB,All_data_XGBoost,All_data_RF,All_data_ET,All_data_SVM,All_data_MLP,All_data_GBDT,All_data_AB
ACC,0.7270496660202543,0.7534744667097607,0.7571617108381814,0.7344241542770954,0.7094753285929757,0.7233866623572507,0.6830666882137469,0.7197371256194784,0.7490627020038785,0.7549692954104719,0.7072748330101272,0.7153442146089205,0.7109109028226676,0.6676847662141779,0.7270954535660418,0.7336753932342168,0.7263251454427926,0.6926201249730661,0.7021520146520147,0.7087427278603748,0.7006706528765352,0.7336834733893558,0.7622737556561086,0.7505467571644042,0.7234216763628528,0.6830613014436543,0.7175420168067228,0.6874784529196294,0.7358758888170653,0.7542151475975005,0.7637605042016806,0.7461215255332903,0.7131140917905624,0.7182853910795087,0.674240465416936,0.7219241542770954,0.7285337211807801,0.7256302521008403,0.7072694462400345,0.6867350786468434,0.7050554837319544,0.6639652014652014,0.7329562594268477,0.7535014005602241,0.7527526395173453,0.7212050204697265,0.7190233785822022,0.7248976513682395,0.6830424477483301,0.6947936867054514,0.7300177763413058,0.7410148674854556,0.6999138116785175,0.6911226028873088,0.6918848308554191,0.6610644257703082,0.710197155785391,0.7219322344322345,0.7351379013143718,0.623596746390864,0.5832579185520362,0.7013655462184873,0.6896385477267829,0.7468595130359835,0.7498168498168498,0.7542313079077785,0.7520092652445594,0.7322263520792933,0.7226675285498814,0.6896735617323853,0.7483381814264167,0.7402553329023916,0.7409906270200388,0.6713289161818573,0.7013978668390434,0.7520254255548373,0.7021654815772462,0.7497953027364792,0.7520011850894204,0.7527634130575307,0.7249057315233787,0.7344214608920492,0.7476325145442793,0.7160848954966601
F1,0.7159524280869842,0.7386345411715267,0.7390475377008597,0.7173486739015608,0.6989146137854017,0.7089174448554084,0.6674311101273792,0.7114805453719425,0.7284412671197187,0.7364569535114179,0.7094060434584818,0.7103217462635794,0.7008414515952687,0.6608635001887727,0.711312966266571,0.7135529717494473,0.7045763141465639,0.6417256053602903,0.6799644986137906,0.6908268231928946,0.6904242660253487,0.724112584226374,0.7458160238008101,0.7382094365044642,0.710779247100216,0.6755249478609887,0.7109004712131344,0.6815813094202812,0.7228139355995931,0.7361567584815347,0.7470200459714167,0.7259655827443695,0.70305585345638,0.697518884947869,0.6621325173284655,0.7129101964702945,0.7115535146475669,0.7050852282304587,0.6650486462309202,0.6763701158826929,0.6864915334175353,0.6577784779160722,0.7253563667403677,0.7381943715588187,0.7364077294566899,0.7039605577812627,0.7082910065981574,0.7112048036230968,0.6693595404172354,0.6860465668037595,0.7117264737512207,0.7245525745796308,0.7080934111178598,0.6870431075097305,0.6946429012181079,0.669129426836256,0.7024085180819277,0.7090243278387167,0.7228011728330301,0.6516950981785119,0.36972345582691846,0.695976492145656,0.6894988709236705,0.7400397153325962,0.7328640797852126,0.734124936739933,0.728815158720227,0.7222523396292262,0.7112673419924567,0.6837382900866975,0.7417240626971873,0.7298135399968333,0.728280970932411,0.6352493850516573,0.6779783301816842,0.7453393897829894,0.697129463877827,0.7422021449991651,0.7387077255769909,0.7368770876169652,0.7018003261950138,0.7270874028782051,0.7389284107554664,0.7091421508814009
F2,0.7037793309276568,0.7166485687546957,0.711939347763858,0.6946402740447924,0.6882933530688393,0.6905127425560722,0.6517563502435975,0.7031549986088322,0.6977500826492913,0.7090660882927409,0.7158653403030029,0.7071320826001709,0.6900769037294548,0.6564403827604108,0.6906076032662363,0.6865855942000781,0.6759623155679763,0.5874176095031084,0.6543393762038878,0.6698052697236196,0.6808737108698224,0.7125586588160562,0.7208388076985917,0.7215049897068248,0.6963598231973853,0.6713689588771562,0.7054721692265681,0.6793849291045136,0.7065644182921071,0.7105782232523313,0.7205835741354599,0.696940226631436,0.6928749340527635,0.6721290029984628,0.6522202643316788,0.7023637731070547,0.6889187117333698,0.6779726495894878,0.6152711661433047,0.6663629593575455,0.6655016480677118,0.6545639631557535,0.7169675696116358,0.7157029803843324,0.7128551888786079,0.6828335480950318,0.6956818581901096,0.6940830833266317,0.6568006125121845,0.6788799633093424,0.6880966356843439,0.7021747412579825,0.723811759274877,0.6847745386514303,0.7026349700165078,0.6832526685854015,0.6950966818379187,0.6934163940275473,0.7069045509255358,0.6862052472058842,0.2940863727351329,0.6931212779627467,0.6933502702271206,0.7317766974386256,0.7079567316429436,0.7043630749182265,0.6935619611245155,0.7093056193686655,0.698042393380711,0.6798241323068867,0.7347529558950692,0.7158223674342977,0.7114875518558251,0.5994809069581464,0.6524336266689978,0.7378168440597914,0.6933457605807015,0.7332251103638157,0.7193313617196262,0.7139074004164138,0.6713214808768064,0.7199225366435511,0.7273104733532811,0.7030193790310231
GMean,0.7255236065329049,0.7513066868382223,0.7539924210729463,0.7318356700477744,0.7074806573756787,0.7215040723753823,0.6813733466649896,0.7189770257772328,0.7449805478584249,0.7511874056704461,0.7071242362932104,0.7147094298336727,0.7100605494457934,0.6670036315956535,0.7245151690390631,0.7300284993055934,0.7226286825598986,0.6778531535357788,0.6981218774683411,0.7059897493368015,0.699650653141348,0.7320617324592951,0.7589319706666353,0.7479654744549776,0.7218334814774636,0.6819372983505754,0.7166547684799973,0.686318520275053,0.7341579476549714,0.7510333346663313,0.7610187886913247,0.7424226366653615,0.712108668995526,0.7149818836998898,0.6727490908802123,0.7212589364738624,0.7259556421482991,0.7220152844013392,0.6960022297811344,0.6856782846628889,0.7020279019096358,0.663504018062258,0.7324564297909348,0.7513233221033216,0.7500433749635647,0.7180767245382598,0.7173271778900147,0.7227485047870102,0.6810999360908978,0.693609930434022,0.7269322119128796,0.738128102181527,0.6988216063243867,0.6906685129721477,0.6908756754809293,0.6593959625125825,0.7090833834366143,0.7204126611936708,0.733011343698493,0.6179090220160621,0.47004415962574153,0.7005830658730117,0.6882320275146332,0.7461095391022312,0.7469452875367351,0.7497864703550745,0.7469869596945367,0.730791190176343,0.7208734572515808,0.6884844525196303,0.7472782248016198,0.7384245649709625,0.7391013745962449,0.663269136550874,0.6965439033714844,0.7506784516289148,0.7015381180173472,0.7488969334594507,0.7501379167052182,0.7503576188332696,0.720637506851025,0.733399282524889,0.7460924908344987,0.714380543482775
SEN,0.6959266394155088,0.702798324084679,0.6951071188327813,0.6803422006272569,0.6819479878873909,0.6789244927895499,0.641871491906284,0.697791479049745,0.6787843250616991,0.6922446576014625,0.720517629230919,0.7050754011731131,0.6831197478547851,0.6537687556424412,0.6776810076337297,0.6698041516652707,0.658292453460809,0.5560758160570632,0.6384087691777328,0.6565967834938737,0.6748294052008279,0.7051335782901138,0.7052570381261913,0.7111784532414924,0.6871486194396649,0.6687272936946337,0.7019838011371449,0.67802367117591,0.6961827708816433,0.6946122276350056,0.7040287943732265,0.6790035408376693,0.6866471936510508,0.6562861847975544,0.6461060697127865,0.6957794743593946,0.6748115611440146,0.6612618549618675,0.5861187734259713,0.6599314296619766,0.6524545027226959,0.6527821469120859,0.7116671240199844,0.7016741092783805,0.6980782257351376,0.6696038023349017,0.687946998939236,0.6837346767261677,0.6488815474905094,0.6744319602569078,0.6733515711399951,0.6882546261406425,0.7349532195005184,0.6834914133364156,0.7087420814124642,0.6932325444953008,0.6903404133993565,0.6834055924950699,0.6968309320035841,0.7115462837001798,0.2602671595976943,0.6912726271412344,0.6961587016130988,0.7265804565129237,0.6924486415594724,0.6861025554288259,0.6721028109195241,0.7014717169454161,0.6899802265393457,0.6777453666529366,0.7302692984492385,0.7068688917372988,0.7007590933229031,0.5781604864980249,0.6366208190377881,0.7329915798828393,0.6909774888803681,0.7274101077970528,0.70709397346894,0.6994706631749723,0.6525417948454069,0.7157125199636498,0.7201035828940583,0.6992664571668975
PREC,0.7373734630694384,0.7789551901920188,0.7901119701298773,0.7590211596560084,0.7199032295754089,0.7426590723887504,0.6961424475392953,0.7261683605567425,0.7866652110416815,0.7890466081123104,0.6999416328290573,0.7159347500242994,0.7197254485418062,0.6693985662373425,0.7499131564209878,0.7640980279651876,0.7589697885239453,0.7589318754481393,0.7280742544683206,0.7295464817876995,0.7078104962081541,0.7445725636834463,0.7924835482875402,0.7698948350836964,0.7365805316291563,0.68301345513595,0.7205110518293424,0.6856689509149904,0.7518838268335741,0.7838274646012302,0.7959837050624794,0.7810889540985437,0.7224298244253899,0.74487433998673,0.6810216560224104,0.732491743830711,0.7539180699884513,0.7568727471933012,0.7695189171655049,0.6940907127644377,0.7259213541210165,0.6646486502759547,0.7406145366553065,0.7801641009512542,0.7798992571420225,0.7430810834560843,0.732361062404682,0.7450713788236377,0.6923167695263216,0.6994360445866902,0.755873118533299,0.7666371016600024,0.6842808623839681,0.691822233455529,0.6841050578947596,0.6476334718549329,0.7150915817291642,0.7367521284808916,0.7516901832440093,0.6018578981486438,0.7396380003614349,0.7009596462840414,0.6840357028242703,0.7552303136595618,0.7795176968994642,0.7914300034776373,0.7976323276021196,0.7475384527384528,0.7370157634459976,0.6925504411285324,0.754033776527975,0.7547723362918412,0.7583270633893477,0.7082563281726433,0.7263874348184668,0.7586782466763993,0.7040800828673273,0.757886882325636,0.774087678110294,0.7791734883621518,0.7599408066810444,0.7413057538481267,0.7607912342409923,0.7206994897212957
SPEC,0.7568338783107185,0.8034929351485512,0.8185213101943576,0.7875133152243027,0.7366679597702953,0.7673254497254933,0.72394278083865,0.7411501331441059,0.8180369287333438,0.8166776006227355,0.6949304246545805,0.7248730249887976,0.7381650585172401,0.6816283220290223,0.7756532091358678,0.7961758075980836,0.7937240417351171,0.8267211727747796,0.7641121476554161,0.759722516514505,0.726247929860125,0.7606792690565509,0.8176592480832564,0.7886181027905325,0.7587509381510997,0.6963153986230237,0.7322258674942159,0.6956176155401577,0.7745389081211511,0.8126779999457835,0.8227567314041492,0.8124218459279813,0.740036694663453,0.7792821875277388,0.7021952863606117,0.7485108756245874,0.7817222708201657,0.7893245367878217,0.8268552445116677,0.7128336187600368,0.7567148276859207,0.6758113248816154,0.7544337110488568,0.8052518908676335,0.8064017115465691,0.7711708404713258,0.7498923459843134,0.7665487482631331,0.716151340924284,0.7146588036108512,0.7856554470746542,0.7928745247286191,0.6655527376342956,0.6988052717524,0.6763308656489508,0.6286562040122294,0.7287945186727466,0.7595479730984228,0.7719692936013411,0.5373250782081257,0.8992079077680935,0.7104668020403417,0.6819882893447935,0.7669562246990976,0.806439151569647,0.8208110777458446,0.8310844908145236,0.7634452902548019,0.7552908002209762,0.7018497333607299,0.765311090927969,0.7720316285428936,0.7799124674393391,0.7631072187498446,0.7636867625944038,0.7696003914556213,0.7129396523276308,0.7713287493018937,0.796259894207291,0.8053359774768409,0.7962779469754976,0.7534962341669783,0.774524389185227,0.7315275287627212
MCC,0.45384383886246804,0.5091411254555885,0.5179604810148831,0.4707644812323212,0.4207095092682689,0.44844092937800434,0.36728682137130836,0.43950942472164645,0.5023095304747192,0.5140635421485076,0.4158129385953095,0.4302348861070434,0.42195102101890686,0.33583868184001586,0.4563596264964289,0.47021373792255927,0.4566077394095235,0.39779133071674877,0.40642860155652916,0.41900404121106904,0.4018584298159495,0.4671732816845986,0.5270876739582343,0.5028715720649599,0.4472520191441669,0.3654324003266643,0.4346921790510156,0.3741885705755309,0.4723628545239392,0.5111684143525878,0.5306501938179007,0.49634955660898694,0.42791365864401565,0.4390547941570877,0.34947545943995645,0.4453396145477444,0.45980397337167983,0.45511538141085917,0.42593572731680907,0.3735084309535327,0.4121253775735253,0.32905459695347283,0.46671977915458135,0.5100317771808827,0.5078110861042607,0.44385394275138956,0.43981347324821174,0.45343255064635307,0.3663949405755778,0.3899348263250539,0.46240976112739096,0.48458869960477075,0.40186286096690127,0.38273313074936555,0.3863671928778161,0.32318565827128165,0.41977011344231796,0.44435065072861873,0.47094021737428304,0.25306266681120265,0.21382334891682647,0.402052672707236,0.3790153716911878,0.4944651013341527,0.5027502123407285,0.51277918390768,0.5104614368901343,0.46711803639968846,0.4475001390841989,0.3807095081588206,0.4964048861895168,0.4806815978302338,0.48253677310246257,0.34858670897908833,0.40440726999445326,0.5036780000778631,0.4043124357471554,0.49948415631569354,0.5057764843992534,0.5078594078140471,0.4539804149911367,0.470489622311616,0.49657503996129604,0.43216885186854137
AUC,0.807455368716323,0.8293461021182148,0.826901725514689,0.787983359934584,0.7718501331345392,0.7989989653811651,0.7529517150560742,0.7983732677868842,0.8196784656560663,0.8320351810585807,0.7754154657679841,0.7857014520041868,0.7819414589009701,0.7325928828777135,0.7977008145109306,0.8074181191006902,0.8062335047839013,0.7596470892076379,0.7575631191963497,0.782511863557377,0.7450012932975514,0.820088816198236,0.8319925868954577,0.8245132815598117,0.7827765739622687,0.7485516380221584,0.7982170483109872,0.7528747777959236,0.7992725155842897,0.8299923787261797,0.8272844805816018,0.8141106078393937,0.7690082572429955,0.7871882986202112,0.7291181242599284,0.7917479842291055,0.8030209821626123,0.7990759854750001,0.7781191920114416,0.750082327504807,0.7752801111773968,0.729516897235118,0.8089937240876491,0.8281217883313221,0.8316754691115339,0.7768159083075907,0.7823937222987183,0.7917742405571608,0.7463454656586741,0.7765831471634452,0.8109915982418483,0.8101431779341549,0.758512948947637,0.7547318242189084,0.759550608612364,0.7044374338150319,0.7886287739880605,0.8027950450812018,0.8123641043876606,0.6693112902697445,0.671247861521528,0.7849637128601951,0.7501034699601282,0.8207211903154461,0.8321572792160513,0.8314864298793335,0.8131720659002726,0.8006597407480207,0.8077122794009931,0.75839239788877,0.8360638498243457,0.8260075178872024,0.8214524989334102,0.7465566305678651,0.7675773864911226,0.8238147538460246,0.7772877638619724,0.8315583100292973,0.8369682065138739,0.8333964023900506,0.780094550936924,0.7993989226513447,0.8206432027947594,0.7852958423847399
AUPR,0.8307488932818208,0.851248030982568,0.8402077202094581,0.8070512206709275,0.7908177780306754,0.8290534660624853,0.7731140860119436,0.821434447819321,0.8451666330807761,0.8526880061659752,0.7928575007159223,0.8064858444262806,0.8059688112634096,0.7329749246294133,0.825036491222854,0.8308162300571172,0.8181375723111651,0.7968892987801328,0.7776042827766492,0.8117968414700949,0.752294198897475,0.8344396038424489,0.8461263905282308,0.8224470465190624,0.7935634339566,0.7536677794045076,0.8084403742762545,0.7548221136507285,0.8265057273255338,0.8542686987396875,0.844405847108032,0.8420358078006531,0.7964097364377866,0.8169074660789851,0.7502228698865933,0.811100126929351,0.8254307031114975,0.8047061620861491,0.8019020825166281,0.7610597740538845,0.7996414044785094,0.7502523068387836,0.8319592184755102,0.8539378252474158,0.8520911004515686,0.7976141321201584,0.8118585991971978,0.8179970404661182,0.7475845281425614,0.7949146648101204,0.8319867766585698,0.8278492738737663,0.7601922338638938,0.7653728552000313,0.773380442073905,0.6867681945683859,0.8107400909673892,0.8241172402974014,0.8286350857725664,0.6630598641515965,0.6621576287215698,0.7933423357839761,0.7392817025440774,0.8453771447961318,0.8541077474214791,0.8504701866106364,0.8247756345775074,0.8255367245513675,0.831066157321174,0.779205294841919,0.8520136685577508,0.8405450585884576,0.8339835317363609,0.772113792378093,0.799182128066397,0.8445447139297716,0.7954331658942189,0.8540370254673725,0.8576100703235527,0.8533448028900239,0.8035887898419356,0.8190129897666045,0.8500369451426832,0.8135802585679531
